date, base, rates
2020-05-27,BGN,1.7794559185
2020-05-27,BGN,1.7794559185
2020-05-28,BGN,1.7754175744
2020-05-29,BGN,1.7562859195
2020-05-29,BGN,1.7562859195
2020-05-29,BGN,1.7562859195
2020-06-01,BGN,1.7594458438
2020-06-02,BGN,1.7503132271
2020-06-03,BGN,1.7471859925
2020-06-04,BGN,1.7384888889
2020-06-05,BGN,1.7262135922
2020-06-05,BGN,1.7262135922
2020-06-05,BGN,1.7262135922
2020-06-08,BGN,1.7330970315
2020-06-09,BGN,1.7317159554
2020-06-10,BGN,1.7193846154
2020-06-11,BGN,1.7234755023
2020-06-12,BGN,1.7301840057
2020-06-12,BGN,1.7301840057
2020-06-12,BGN,1.7301840057
2020-06-15,BGN,1.7380254154
2020-06-16,BGN,1.7295719844
2020-06-17,BGN,1.7412749288
2020-06-18,BGN,1.7428265906
2020-06-19,BGN,1.7446922391
2020-06-19,BGN,1.7446922391
2020-06-19,BGN,1.7446922391
2020-06-22,BGN,1.7442254526
2020-06-23,BGN,1.728043824
2020-06-24,BGN,1.7338652482
2020-06-25,BGN,1.74625
2020-06-26,BGN,1.7442254526
2020-06-26,BGN,1.7442254526
2020-06-26,BGN,1.7442254526
2020-06-29,BGN,1.7332506203
2020-06-30,BGN,1.7465618861
2020-07-01,BGN,1.74625
2020-07-02,BGN,1.7329434698
2020-07-03,BGN,1.7425160371
2020-07-03,BGN,1.7425160371
2020-07-03,BGN,1.7425160371
2020-07-06,BGN,1.7269757174
2020-07-07,BGN,1.7323294951
2020-07-08,BGN,1.7329434698
2020-07-09,BGN,1.7243872333
2020-07-10,BGN,1.7344803122
2020-07-10,BGN,1.7344803122
2020-07-10,BGN,1.7344803122
2020-07-13,BGN,1.7263659635
2020-07-14,BGN,1.7193846154
2020-07-15,BGN,1.7090178259
2020-07-16,BGN,1.7135097249
2020-07-17,BGN,1.7114105705
2020-07-17,BGN,1.7114105705
2020-07-17,BGN,1.7114105705
2020-07-20,BGN,1.7084206848
2020-07-21,BGN,1.7091671764
2020-07-22,BGN,1.6892382104
2020-07-23,BGN,1.6905523381
2020-07-24,BGN,1.6848725017
2020-07-24,BGN,1.6848725017
2020-07-24,BGN,1.6848725017
2020-07-27,BGN,1.6630952381
2020-07-28,BGN,1.6691986003
2020-07-29,BGN,1.6680597015
2020-07-30,BGN,1.6655028528
2020-07-31,BGN,1.6507427414
2020-07-31,BGN,1.6507427414
2020-07-31,BGN,1.6507427414
2020-08-03,BGN,1.6679174484
2020-08-04,BGN,1.6623884403
2020-08-05,BGN,1.6499072043
2020-08-06,BGN,1.651439669
2020-08-07,BGN,1.6550731996
2020-08-07,BGN,1.6550731996
2020-08-07,BGN,1.6550731996
2020-08-10,BGN,1.6626710873
2020-08-11,BGN,1.6598489349
2020-08-12,BGN,1.6615410755
2020-08-13,BGN,1.6528352911
2020-08-14,BGN,1.655633624
2020-08-14,BGN,1.655633624
2020-08-14,BGN,1.655633624
2020-08-17,BGN,1.6500464018
2020-08-18,BGN,1.6427011591
2020-08-19,BGN,1.6389843292
2020-08-20,BGN,1.650464135
2020-08-21,BGN,1.6618234344
2020-08-21,BGN,1.6618234344
2020-08-21,BGN,1.6618234344
2020-08-24,BGN,1.6508820799
2020-08-25,BGN,1.6554934823
2020-08-26,BGN,1.6590041564
2020-08-27,BGN,1.6566152804
2020-08-28,BGN,1.6414603441
2020-08-28,BGN,1.6414603441
2020-08-28,BGN,1.6414603441
2020-08-31,BGN,1.6380234506
2020-09-01,BGN,1.631600901
2020-09-02,BGN,1.6489334795
2020-09-03,BGN,1.655633624
2020-09-04,BGN,1.6515791251
2020-09-04,BGN,1.6515791251
2020-09-04,BGN,1.6515791251
2020-09-07,BGN,1.6540933694
2020-09-08,BGN,1.6595672465
2020-09-09,BGN,1.6612588125
2020-09-10,BGN,1.6506034264
2020-09-11,BGN,1.6499072043
2020-09-11,BGN,1.6499072043
2020-09-11,BGN,1.6499072043
2020-09-14,BGN,1.6468507915
2020-09-15,BGN,1.6446350488
2020-09-16,BGN,1.6478220575
2020-09-17,BGN,1.6578791218
2020-09-18,BGN,1.6528352911
2020-09-18,BGN,1.6528352911
2020-09-18,BGN,1.6528352911
2020-09-21,BGN,1.6592856537
2020-09-22,BGN,1.6659284497
2020-09-23,BGN,1.6727677044
2020-09-24,BGN,1.6795191069
2020-09-25,BGN,1.6811070999
2020-09-25,BGN,1.6811070999
2020-09-25,BGN,1.6811070999
2020-09-28,BGN,1.6759211654
2020-09-29,BGN,1.6713382328
2020-09-30,BGN,1.6704817219
2020-10-01,BGN,1.6642273656
2020-10-02,BGN,1.6673486786
