date, base, rates
2020-05-27,CAD,1.3762169047
2020-05-27,CAD,1.3762169047
2020-05-28,CAD,1.3757262164
2020-05-29,CAD,1.3721264368
2020-05-29,CAD,1.3721264368
2020-05-29,CAD,1.3721264368
2020-06-01,CAD,1.3699172364
2020-06-02,CAD,1.3518883122
2020-06-03,CAD,1.3554582812
2020-06-04,CAD,1.3513777778
2020-06-05,CAD,1.3448367167
2020-06-05,CAD,1.3448367167
2020-06-05,CAD,1.3448367167
2020-06-08,CAD,1.3403633141
2020-06-09,CAD,1.3446962989
2020-06-10,CAD,1.3387252747
2020-06-11,CAD,1.3501057455
2020-06-12,CAD,1.357661005
2020-06-12,CAD,1.357661005
2020-06-12,CAD,1.357661005
2020-06-15,CAD,1.3633697681
2020-06-16,CAD,1.3547930669
2020-06-17,CAD,1.3536324786
2020-06-18,CAD,1.3560862591
2020-06-19,CAD,1.356735058
2020-06-19,CAD,1.356735058
2020-06-19,CAD,1.356735058
2020-06-22,CAD,1.3564612503
2020-06-23,CAD,1.3490899452
2020-06-24,CAD,1.3591312057
2020-06-25,CAD,1.3644642857
2020-06-26,CAD,1.3660929279
2020-06-26,CAD,1.3660929279
2020-06-26,CAD,1.3660929279
2020-06-29,CAD,1.3655618575
2020-06-30,CAD,1.3684586533
2020-07-01,CAD,1.3586607143
2020-07-02,CAD,1.3594719121
2020-07-03,CAD,1.3571810406
2020-07-03,CAD,1.3571810406
2020-07-03,CAD,1.3571810406
2020-07-06,CAD,1.3539072848
2020-07-07,CAD,1.3566873339
2020-07-08,CAD,1.3590288853
2020-07-09,CAD,1.3502027861
2020-07-10,CAD,1.3600567577
2020-07-10,CAD,1.3600567577
2020-07-10,CAD,1.3600567577
2020-07-13,CAD,1.3563421308
2020-07-14,CAD,1.3615824176
2020-07-15,CAD,1.3567808459
2020-07-16,CAD,1.3537760645
2020-07-17,CAD,1.3571928596
2020-07-17,CAD,1.3571928596
2020-07-17,CAD,1.3571928596
2020-07-20,CAD,1.356743536
2020-07-21,CAD,1.3457135367
2020-07-22,CAD,1.3422007255
2020-07-23,CAD,1.3385772323
2020-07-24,CAD,1.3420055134
2020-07-24,CAD,1.3420055134
2020-07-24,CAD,1.3420055134
2020-07-27,CAD,1.3375
2020-07-28,CAD,1.3393360075
2020-07-29,CAD,1.3360341151
2020-07-30,CAD,1.3430128587
2020-07-31,CAD,1.3418298447
2020-07-31,CAD,1.3418298447
2020-07-31,CAD,1.3418298447
2020-08-03,CAD,1.343595429
2020-08-04,CAD,1.3406714832
2020-08-05,CAD,1.324700523
2020-08-06,CAD,1.3297306426
2020-08-07,CAD,1.3345180672
2020-08-07,CAD,1.3345180672
2020-08-07,CAD,1.3345180672
2020-08-10,CAD,1.3380090113
2020-08-11,CAD,1.328693881
2020-08-12,CAD,1.3290289695
2020-08-13,CAD,1.3214738443
2020-08-14,CAD,1.3247269957
2020-08-14,CAD,1.3247269957
2020-08-14,CAD,1.3247269957
2020-08-17,CAD,1.3232093141
2020-08-18,CAD,1.3163111036
2020-08-19,CAD,1.3146735942
2020-08-20,CAD,1.3210126582
2020-08-21,CAD,1.3223723341
2020-08-21,CAD,1.3223723341
2020-08-21,CAD,1.3223723341
2020-08-24,CAD,1.3145944121
2020-08-25,CAD,1.3202133062
2020-08-26,CAD,1.318432437
2020-08-27,CAD,1.3146705065
2020-08-28,CAD,1.3053294167
2020-08-28,CAD,1.3053294167
2020-08-28,CAD,1.3053294167
2020-08-31,CAD,1.3066164154
2020-09-01,CAD,1.3014098607
2020-09-02,CAD,1.3063822612
2020-09-03,CAD,1.3113519004
2020-09-04,CAD,1.3095760851
2020-09-04,CAD,1.3095760851
2020-09-04,CAD,1.3095760851
2020-09-07,CAD,1.3095399188
2020-09-08,CAD,1.3171828596
2020-09-09,CAD,1.3219230443
2020-09-10,CAD,1.3153852646
2020-09-11,CAD,1.3178673865
2020-09-11,CAD,1.3178673865
2020-09-11,CAD,1.3178673865
2020-09-14,CAD,1.3170259347
2020-09-15,CAD,1.3146653212
2020-09-16,CAD,1.316707389
2020-09-17,CAD,1.3195727727
2020-09-18,CAD,1.3184315051
2020-09-18,CAD,1.3184315051
2020-09-18,CAD,1.3184315051
2020-09-21,CAD,1.3238313396
2020-09-22,CAD,1.3314310051
2020-09-23,CAD,1.3337324666
2020-09-24,CAD,1.3396307428
2020-09-25,CAD,1.3374591714
2020-09-25,CAD,1.3374591714
2020-09-25,CAD,1.3374591714
2020-09-28,CAD,1.3384747215
2020-09-29,CAD,1.3378055033
2020-09-30,CAD,1.3389135634
2020-10-01,CAD,1.3287950987
2020-10-02,CAD,1.3301790281
2020-10-02,CAD,1.3301790281
2020-10-02,CAD,1.3301790281
2020-10-05,CAD,1.3268184908
2020-10-06,CAD,1.3251377702
2020-10-07,CAD,1.3288020391
2020-10-08,CAD,1.324521887
2020-10-09,CAD,1.3176769818
2020-10-09,CAD,1.3176769818
2020-10-09,CAD,1.3176769818
2020-10-12,CAD,1.3130773794
2020-10-13,CAD,1.3107660982
2020-10-14,CAD,1.3133617021
2020-10-15,CAD,1.3209950419
