date, base, rates
2020-05-27,CHF,0.9712492039
2020-05-27,CHF,0.9712492039
2020-05-28,CHF,0.9697712418
2020-05-29,CHF,0.9626436782
2020-05-29,CHF,0.9626436782
2020-05-29,CHF,0.9626436782
2020-06-01,CHF,0.9613170205
2020-06-02,CHF,0.9612493288
2020-06-03,CHF,0.9641772378
2020-06-04,CHF,0.9587555556
2020-06-05,CHF,0.9590467785
2020-06-05,CHF,0.9590467785
2020-06-05,CHF,0.9590467785
2020-06-08,CHF,0.9624280018
2020-06-09,CHF,0.9536036834
2020-06-10,CHF,0.9461098901
2020-06-11,CHF,0.9426330631
2020-06-12,CHF,0.9463021939
2020-06-12,CHF,0.9463021939
2020-06-12,CHF,0.9463021939
2020-06-15,CHF,0.9489913801
2020-06-16,CHF,0.947736116
2020-06-17,CHF,0.9498753561
2020-06-18,CHF,0.9505435751
2020-06-19,CHF,0.9505798394
2020-06-19,CHF,0.9505798394
2020-06-19,CHF,0.9505798394
2020-06-22,CHF,0.9501471506
2020-06-23,CHF,0.9458384874
2020-06-24,CHF,0.9467198582
2020-06-25,CHF,0.9497321429
2020-06-26,CHF,0.94809596
