date, base, rates
2020-05-27,CNY,7.1587662633
2020-05-27,CNY,7.1587662633
2020-05-28,CNY,7.1535947712
2020-05-29,CNY,7.1350574713
2020-05-29,CNY,7.1350574713
2020-05-29,CNY,7.1350574713
2020-06-01,CNY,7.1362900324
2020-06-02,CNY,7.106944693
2020-06-03,CNY,7.1108629623
2020-06-04,CNY,7.1169777778
2020-06-05,CNY,7.0917034422
2020-06-05,CNY,7.0917034422
2020-06-05,CNY,7.0917034422
2020-06-08,CNY,7.074523704
2020-06-09,CNY,7.0856206835
2020-06-10,CNY,7.0597802198
2020-06-11,CNY,7.0717307014
2020-06-12,CNY,7.0762561925
2020-06-12,CNY,7.0762561925
2020-06-12,CNY,7.0762561925
2020-06-15,CNY,7.0949968897
2020-06-16,CNY,7.0782631765
2020-06-17,CNY,7.0870726496
2020-06-18,CNY,7.0883086794
2020-06-19,CNY,7.0768956289
2020-06-19,CNY,7.0768956289
2020-06-19,CNY,7.0768956289
2020-06-22,CNY,7.0764291447
2020-06-23,CNY,7.0634387701
2020-06-24,CNY,7.0719858156
2020-06-25,CNY,7.0719642857
2020-06-26,CNY,7.0719700348
2020-06-26,CNY,7.0719700348
2020-06-26,CNY,7.0719700348
2020-06-29,CNY,7.0755937611
2020-06-30,CNY,7.0743882836
2020-07-01,CNY,7.0670535714
2020-07-02,CNY,7.0670742513
2020-07-03,CNY,7.0661083393
2020-07-03,CNY,7.0661083393
2020-07-03,CNY,7.0661083393
2020-07-06,CNY,7.0196909492
2020-07-07,CNY,7.0227635075
2020-07-08,CNY,7.0142654616
2020-07-09,CNY,6.9855404691
2020-07-10,CNY,7.0017736786
2020-07-10,CNY,7.0017736786
2020-07-10,CNY,7.0017736786
2020-07-13,CNY,7.0005296143
2020-07-14,CNY,7.0158241758
2020-07-15,CNY,6.9883781894
2020-07-16,CNY,6.9967583669
2020-07-17,CNY,6.9981624081
2020-07-17,CNY,6.9981624081
2020-07-17,CNY,6.9981624081
2020-07-20,CNY,6.9874213836
2020-07-21,CNY,6.9896006292
2020-07-22,CNY,6.995940577
2020-07-23,CNY,7.0063964042
2020-07-24,CNY,7.0169710544
2020-07-24,CNY,7.0169710544
2020-07-24,CNY,7.0169710544
2020-07-27,CNY,7.0020408163
2020-07-28,CNY,7.0018776137
2020-07-29,CNY,6.9993176972
2020-07-30,CNY,7.0033211275
2020-07-31,CNY,6.9747636732
2020-07-31,CNY,6.9747636732
2020-07-31,CNY,6.9747636732
2020-08-03,CNY,6.9844789357
2020-08-04,CNY,6.9831704207
2020-08-05,CNY,6.9408638434
2020-08-06,CNY,6.9513636747
2020-08-07,CNY,6.9592959296
2020-08-07,CNY,6.9592959296
2020-08-07,CNY,6.9592959296
2020-08-10,CNY,6.9712658335
2020-08-11,CNY,6.9470423491
2020-08-12,CNY,6.945714043
2020-08-13,CNY,6.9455759317
2020-08-14,CNY,6.9499703716
2020-08-14,CNY,6.9499703716
2020-08-14,CNY,6.9499703716
2020-08-17,CNY,6.9401839197
2020-08-18,CNY,6.9214681673
2020-08-19,CNY,6.9112545043
2020-08-20,CNY,6.9185654008
2020-08-21,CNY,6.9235279123
2020-08-21,CNY,6.9235279123
2020-08-21,CNY,6.9235279123
2020-08-24,CNY,6.9128893391
2020-08-25,CNY,6.9130692399
2020-08-26,CNY,6.8930358809
2020-08-27,CNY,6.8882771472
2020-08-28,CNY,6.8610155266
2020-08-28,CNY,6.8610155266
2020-08-28,CNY,6.8610155266
2020-08-31,CNY,6.8434673367
2020-09-01,CNY,6.8189705514
2020-09-02,CNY,6.8270803474
2020-09-03,CNY,6.8400914247
2020-09-04,CNY,6.8405674717
2020-09-04,CNY,6.8405674717
2020-09-04,CNY,6.8405674717
2020-09-07,CNY,6.8326285521
2020-09-08,CNY,6.8441238863
2020-09-09,CNY,6.8448144058
2020-09-10,CNY,6.8378766141
2020-09-11,CNY,6.8367639615
2020-09-11,CNY,6.8367639615
2020-09-11,CNY,6.8367639615
2020-09-14,CNY,6.8193836309
2020-09-15,CNY,6.7714429869
2020-09-16,CNY,6.7595416632
2020-09-17,CNY,6.7696024413
2020-09-18,CNY,6.7730921998
2020-09-18,CNY,6.7730921998
2020-09-18,CNY,6.7730921998
2020-09-21,CNY,6.7864596589
2020-09-22,CNY,6.7759795571
2020-09-23,CNY,6.7937906261
2020-09-24,CNY,6.8292829541
2020-09-25,CNY,6.8292074953
2020-09-25,CNY,6.8292074953
2020-09-25,CNY,6.8292074953
2020-09-28,CNY,6.8131962296
2020-09-29,CNY,6.8173816442
2020-09-30,CNY,6.8090194739
2020-10-01,CNY,6.7907590197
2020-10-02,CNY,6.7907928389
2020-10-02,CNY,6.7907928389
2020-10-02,CNY,6.7907928389
2020-10-05,CNY,6.8089734874
2020-10-06,CNY,6.7919457397
2020-10-07,CNY,6.7913338997
2020-10-08,CNY,6.7908202295
2020-10-09,CNY,6.7017380246
2020-10-09,CNY,6.7017380246
2020-10-09,CNY,6.7017380246
2020-10-12,CNY,6.7444698703
2020-10-13,CNY,6.7352167642
2020-10-14,CNY,6.7312340426
2020-10-15,CNY,6.7324328945
2020-10-16,CNY,6.6978110893
2020-10-16,CNY,6.6978110893
2020-10-16,CNY,6.6978110893
2020-10-19,CNY,6.6836656767
2020-10-20,CNY,6.6823031329
2020-10-21,CNY,6.6553324333
2020-10-22,CNY,6.6813298367
2020-10-23,CNY,6.6765350877
2020-10-23,CNY,6.6765350877
2020-10-23,CNY,6.6765350877
