date, base, rates
2020-05-27,DKK,6.7858247657
2020-05-27,DKK,6.7858247657
2020-05-28,DKK,6.7668845316
2020-05-29,DKK,6.6937859195
2020-05-29,DKK,6.6937859195
2020-05-29,DKK,6.6937859195
2020-06-01,DKK,6.706459158
2020-06-02,DKK,6.6709325219
2020-06-03,DKK,6.6595497588
2020-06-04,DKK,6.6272888889
2020-06-05,DKK,6.5811120918
2020-06-05,DKK,6.5811120918
2020-06-05,DKK,6.5811120918
2020-06-08,DKK,6.606557377
2020-06-09,DKK,6.6024437755
2020-06-10,DKK,6.5541098901
2020-06-11,DKK,6.5693514276
2020-06-12,DKK,6.59509908
2020-06-12,DKK,6.59509908
2020-06-12,DKK,6.59509908
2020-06-15,DKK,6.6256998134
2020-06-16,DKK,6.5936505129
2020-06-17,DKK,6.6381766382
2020-06-18,DKK,6.6437355195
2020-06-19,DKK,6.6506690455
