date, base, rates
2020-05-27,HRK,6.9050131926
2020-05-27,HRK,6.9050131926
2020-05-28,HRK,6.8899782135
2020-05-29,HRK,6.8130387931
2020-05-29,HRK,6.8130387931
2020-05-29,HRK,6.8130387931
2020-06-01,HRK,6.8275458798
2020-06-02,HRK,6.7879004833
2020-06-03,HRK,6.7643380382
2020-06-04,HRK,6.7311111111
2020-06-05,HRK,6.6827007944
2020-06-05,HRK,6.6827007944
2020-06-05,HRK,6.6827007944
2020-06-08,HRK,6.7035888347
2020-06-09,HRK,6.7043562954
2020-06-10,HRK,6.6540659341
2020-06-11,HRK,6.6685759605
2020-06-12,HRK,6.6932059448
2020-06-12,HRK,6.6932059448
2020-06-12,HRK,6.6932059448
2020-06-15,HRK,6.715542522
2020-06-16,HRK,6.6744782455
2020-06-17,HRK,6.7183048433
2020-06-18,HRK,6.7245589022
2020-06-19,HRK,6.7497769848
2020-06-19,HRK,6.7497769848
2020-06-19,HRK,6.7497769848
2020-06-22,HRK,6.771247659
2020-06-23,HRK,6.6946456971
2020-06-24,HRK,6.7149822695
2020-06-25,HRK,6.75625
2020-06-26,HRK,6.739944707
2020-06-26,HRK,6.739944707
2020-06-26,HRK,6.739944707
2020-06-29,HRK,6.7077277561
2020-06-30,HRK,6.7608501518
2020-07-01,HRK,6.7540178571
2020-07-02,HRK,6.6990076201
2020-07-03,HRK,6.732893799
2020-07-03,HRK,6.732893799
2020-07-03,HRK,6.732893799
2020-07-06,HRK,6.6763796909
2020-07-07,HRK,6.6864481842
2020-07-08,HRK,6.6795144427
2020-07-09,HRK,6.6447716452
2020-07-10,HRK,6.6818907414
2020-07-10,HRK,6.6818907414
2020-07-10,HRK,6.6818907414
2020-07-13,HRK,6.6501897784
2020-07-14,HRK,6.6193406593
2020-07-15,HRK,6.5805662356
2020-07-16,HRK,6.6020676362
2020-07-17,HRK,6.596079804
2020-07-17,HRK,6.596079804
2020-07-17,HRK,6.596079804
2020-07-20,HRK,6.5810621943
2020-07-21,HRK,6.5804421917
2020-07-22,HRK,6.496804284
2020-07-23,HRK,6.5014262253
2020-07-24,HRK,6.4757064094
2020-07-24,HRK,6.4757064094
2020-07-24,HRK,6.4757064094
2020-07-27,HRK,6.3914115646
2020-07-28,HRK,6.4069301016
2020-07-29,HRK,6.3914712154
2020-07-30,HRK,6.376564762
2020-07-31,HRK,6.3145678596
2020-07-31,HRK,6.3145678596
2020-07-31,HRK,6.3145678596
2020-08-03,HRK,6.375149241
2020-08-04,HRK,6.3478963026
2020-08-05,HRK,6.3002362072
2020-08-06,HRK,6.3058346703
2020-08-07,HRK,6.312515867
2020-08-07,HRK,6.312515867
2020-08-07,HRK,6.312515867
2020-08-10,HRK,6.3613023888
2020-08-11,HRK,6.3477043198
2020-08-12,HRK,6.3618214255
2020-08-13,HRK,6.3487703879
2020-08-14,HRK,6.3790739016
2020-08-14,HRK,6.3790739016
2020-08-14,HRK,6.3790739016
2020-08-17,HRK,6.3528220704
2020-08-18,HRK,6.3242062825
2020-08-19,HRK,6.3125785636
2020-08-20,HRK,6.3591561181
2020-08-21,HRK,6.3933214377
2020-08-21,HRK,6.3933214377
2020-08-21,HRK,6.3933214377
2020-08-24,HRK,6.3585717903
2020-08-25,HRK,6.3729473506
2020-08-26,HRK,6.3850199338
2020-08-27,HRK,6.3748941216
2020-08-28,HRK,6.3176668065
2020-08-28,HRK,6.3176668065
2020-08-28,HRK,6.3176668065
2020-08-31,HRK,6.3048576214
2020-09-01,HRK,6.2834737632
2020-09-02,HRK,6.3514880701
2020-09-03,HRK,6.3789892491
2020-09-04,HRK,6.3663232562
2020-09-04,HRK,6.3663232562
2020-09-04,HRK,6.3663232562
2020-09-07,HRK,6.3734776725
2020-09-08,HRK,6.392023759
2020-09-09,HRK,6.4019366347
2020-09-10,HRK,6.3608743354
2020-09-11,HRK,6.359878522
2020-09-11,HRK,6.359878522
2020-09-11,HRK,6.359878522
2020-09-14,HRK,6.3462445268
2020-09-15,HRK,6.3382946519
2020-09-16,HRK,6.3539472576
2020-09-17,HRK,6.3929812664
2020-09-18,HRK,6.3732781205
2020-09-18,HRK,6.3732781205
2020-09-18,HRK,6.3732781205
2020-09-21,HRK,6.3979808263
2020-09-22,HRK,6.4261499148
2020-09-23,HRK,6.4578344167
2020-09-24,HRK,6.4860455131
2020-09-25,HRK,6.4887399003
2020-09-25,HRK,6.4887399003
2020-09-25,HRK,6.4887399003
2020-09-28,HRK,6.46958012
2020-09-29,HRK,6.4527431208
2020-09-30,HRK,6.4541339255
2020-10-01,HRK,6.4355003404
2020-10-02,HRK,6.4467178176
2020-10-02,HRK,6.4467178176
2020-10-02,HRK,6.4467178176
2020-10-05,HRK,6.4309993202
2020-10-06,HRK,6.4169563374
2020-10-07,HRK,6.4303313509
2020-10-08,HRK,6.432639184
2020-10-09,HRK,6.4234845273
2020-10-09,HRK,6.4234845273
2020-10-09,HRK,6.4234845273
2020-10-12,HRK,6.4168997373
2020-10-13,HRK,6.4295410198
2020-10-14,HRK,6.449787234
2020-10-15,HRK,6.4812788511
2020-10-16,HRK,6.4577122903
2020-10-16,HRK,6.4577122903
2020-10-16,HRK,6.4577122903
2020-10-19,HRK,6.4340263046
2020-10-20,HRK,6.4204911092
2020-10-21,HRK,6.3917482281
2020-10-22,HRK,6.4113019203
2020-10-23,HRK,6.3915317139
2020-10-23,HRK,6.3915317139
2020-10-23,HRK,6.3915317139
2020-10-26,HRK,6.4117099585
2020-10-27,HRK,6.4017072346
2020-10-28,HRK,6.4618401978
2020-10-29,HRK,6.4704374573
2020-10-30,HRK,6.4752949222
2020-10-30,HRK,6.4752949222
2020-10-30,HRK,6.4752949222
2020-11-02,HRK,6.4963096464
2020-11-03,HRK,6.4600068364
2020-11-04,HRK,6.4439894207
2020-11-05,HRK,6.3701391818
2020-11-06,HRK,6.3681550126
2020-11-06,HRK,6.3681550126
2020-11-06,HRK,6.3681550126
2020-11-09,HRK,6.3653959438
2020-11-10,HRK,6.4045562331
2020-11-11,HRK,6.4282678905
2020-11-12,HRK,6.4214231193
2020-11-13,HRK,6.4088023699
2020-11-13,HRK,6.4088023699
2020-11-13,HRK,6.4088023699
2020-11-16,HRK,6.3964497041
2020-11-17,HRK,6.368288167
2020-11-18,HRK,6.3759689922
2020-11-19,HRK,6.3941007437
2020-11-20,HRK,6.3782348478
2020-11-20,HRK,6.3782348478
2020-11-20,HRK,6.3782348478
2020-11-23,HRK,6.353667759
2020-11-24,HRK,6.3725242309
2020-11-25,HRK,6.3578637511
2020-11-26,HRK,6.348907563
2020-11-27,HRK,6.3392887099
2020-11-27,HRK,6.3392887099
2020-11-27,HRK,6.3392887099
2020-11-30,HRK,6.3053422371
2020-12-01,HRK,6.3097426471
2020-12-02,HRK,6.258909332
2020-12-03,HRK,6.2110114394
2020-12-04,HRK,6.2024015133
2020-12-04,HRK,6.2024015133
2020-12-04,HRK,6.2024015133
2020-12-07,HRK,6.2170184697
2020-12-08,HRK,6.2244510484
2020-12-09,HRK,6.2342059625
2020-12-10,HRK,6.2282294676
2020-12-11,HRK,6.2154696133
2020-12-11,HRK,6.2154696133
2020-12-11,HRK,6.2154696133
2020-12-14,HRK,6.1905936524
2020-12-15,HRK,6.1995057661
2020-12-16,HRK,6.1836902125
2020-12-17,HRK,6.1501714846
2020-12-18,HRK,6.144710009
2020-12-18,HRK,6.144710009
2020-12-18,HRK,6.144710009
2020-12-21,HRK,6.1919822558
2020-12-22,HRK,6.1622681592
2020-12-23,HRK,6.2008877199
2020-12-24,HRK,6.1888788649
2020-12-24,HRK,6.1888788649
2020-12-24,HRK,6.1888788649
2020-12-24,HRK,6.1888788649
2020-12-28,HRK,6.1735821262
2020-12-29,HRK,6.1544171629
2020-12-30,HRK,6.1444507776
2020-12-31,HRK,6.154266156
2020-12-31,HRK,6.154266156
2020-12-31,HRK,6.154266156
2020-12-31,HRK,6.154266156
2021-01-04,HRK,6.1454944697
2021-01-05,HRK,6.1598891696
2021-01-06,HRK,6.1270059977
2021-01-07,HRK,6.1632453568
2021-01-08,HRK,6.1787755102
2021-01-08,HRK,6.1787755102
2021-01-08,HRK,6.1787755102
2021-01-11,HRK,6.2320151278
2021-01-12,HRK,6.2334511964
2021-01-13,HRK,6.2308893638
2021-01-14,HRK,6.2429891125
2021-01-15,HRK,6.230718469
2021-01-15,HRK,6.230718469
2021-01-15,HRK,6.230718469
2021-01-18,HRK,6.2611903183
2021-01-19,HRK,6.2359874712
2021-01-20,HRK,6.2503098917
2021-01-21,HRK,6.2222405001
2021-01-22,HRK,6.2226517519
2021-01-22,HRK,6.2226517519
2021-01-22,HRK,6.2226517519
2021-01-25,HRK,6.2265470704
2021-01-26,HRK,6.2282796673
2021-01-27,HRK,6.2398877332
2021-01-28,HRK,6.2568852866
2021-01-29,HRK,6.2341793013
2021-01-29,HRK,6.2341793013
2021-01-29,HRK,6.2341793013
2021-02-01,HRK,6.2682058921
2021-02-02,HRK,6.2944204583
2021-02-03,HRK,6.2988266622
2021-02-04,HRK,6.3116872291
2021-02-05,HRK,6.3100225319
2021-02-05,HRK,6.3100225319
2021-02-05,HRK,6.3100225319
2021-02-08,HRK,6.2854885655
2021-02-09,HRK,6.2516523463
2021-02-10,HRK,6.237733982
