date, base, rates
2020-05-27,IDR,14709.9990901647
2020-05-27,IDR,14709.9990901647
2020-05-28,IDR,14714.9963689179
2020-05-29,IDR,14610.003591954
2020-05-29,IDR,14610.003591954
2020-05-29,IDR,14610.003591954
2020-06-01,IDR,14610.0035984167
2020-06-02,IDR,14414.9991050653
2020-06-03,IDR,14190.9505092014
2020-06-04,IDR,14095.0044444444
2020-06-05,IDR,14018.0052956752
2020-06-05,IDR,14018.0052956752
2020-06-05,IDR,14018.0052956752
2020-06-08,IDR,14014.5502879929
2020-06-09,IDR,14093.5009739685
2020-06-10,IDR,14085.3010989011
2020-06-11,IDR,14014.9982375749
2020-06-12,IDR,14205.8032554848
2020-06-12,IDR,14205.8032554848
2020-06-12,IDR,14205.8032554848
2020-06-15,IDR,14253.6034835155
2020-06-16,IDR,14130.049522462
2020-06-17,IDR,14198.7535612536
2020-06-18,IDR,14085.0026733203
2020-06-19,IDR,14208.4478144514
2020-06-19,IDR,14208.4478144514
2020-06-19,IDR,14208.4478144514
2020-06-22,IDR,14259.0029430126
2020-06-23,IDR,14160.0017670967
2020-06-24,IDR,14168.5017730496
2020-06-25,IDR,14275.0
2020-06-26,IDR,14220.003567288
2020-06-26,IDR,14220.003567288
2020-06-26,IDR,14220.003567288
2020-06-29,IDR,14368.202764977
2020-06-30,IDR,14452.9469548134
2020-07-01,IDR,14265.0
2020-07-02,IDR,14378.5043416622
2020-07-03,IDR,14509.9964362081
2020-07-03,IDR,14509.9964362081
2020-07-03,IDR,14509.9964362081
2020-07-06,IDR,14417.6600441501
2020-07-07,IDR,14440.0
2020-07-08,IDR,14414.3186248449
2020-07-09,IDR,14395.0008816787
2020-07-10,IDR,14435.0035473572
2020-07-10,IDR,14435.0035473572
2020-07-10,IDR,14435.0035473572
2020-07-13,IDR,14424.9977932739
2020-07-14,IDR,14450.0043956044
2020-07-15,IDR,14587.5043691017
2020-07-16,IDR,14625.0043805852
2020-07-17,IDR,14695.003500175
2020-07-17,IDR,14695.003500175
2020-07-17,IDR,14695.003500175
2020-07-20,IDR,14785.00174703
2020-07-21,IDR,14707.6815520405
2020-07-22,IDR,14569.0015546727
2020-07-23,IDR,14649.4943383179
2020-07-24,IDR,14629.5658166782
2020-07-24,IDR,14629.5658166782
2020-07-24,IDR,14629.5658166782
2020-07-27,IDR,14520.0
2020-07-28,IDR,14535.0004267304
