date, base, rates
2020-05-27,ILS,3.5038668001
2020-05-27,ILS,3.5038668001
2020-05-28,ILS,3.5085330428
2020-05-29,ILS,3.5079920977
2020-05-29,ILS,3.5079920977
2020-05-29,ILS,3.5079920977
2020-06-01,ILS,3.5036883771
2020-06-02,ILS,3.4780741006
2020-06-03,ILS,3.4633732357
2020-06-04,ILS,3.4727111111
2020-06-05,ILS,3.4573698147
2020-06-05,ILS,3.4573698147
2020-06-05,ILS,3.4573698147
2020-06-08,ILS,3.4480283562
2020-06-09,ILS,3.4508588631
2020-06-10,ILS,3.4325274725
2020-06-11,ILS,3.4528551287
2020-06-12,ILS,3.4668259023
2020-06-12,ILS,3.4668259023
2020-06-12,ILS,3.4668259023
2020-06-15,ILS,3.4966675553
2020-06-16,ILS,3.4704633888
2020-06-17,ILS,3.4496972934
2020-06-18,ILS,3.4584744252
2020-06-19,ILS,3.4451382694
2020-06-19,ILS,3.4451382694
2020-06-19,ILS,3.4451382694
2020-06-22,ILS,3.4488540087
2020-06-23,ILS,3.4288743594
2020-06-24,ILS,3.4300531915
2020-06-25,ILS,3.4415178571
2020-06-26,ILS,3.4308392045
2020-06-26,ILS,3.4308392045
2020-06-26,ILS,3.4308392045
2020-06-29,ILS,3.4336228288
2020-06-30,ILS,3.4667797821
2020-07-01,ILS,3.4557142857
2020-07-02,ILS,3.4470139996
2020-07-03,ILS,3.4361190306
2020-07-03,ILS,3.4361190306
2020-07-03,ILS,3.4361190306
2020-07-06,ILS,3.4430022075
2020-07-07,ILS,3.449955713
2020-07-08,ILS,3.4510898458
2020-07-09,ILS,3.4389878328
2020-07-10,ILS,3.459205392
2020-07-10,ILS,3.459205392
2020-07-10,ILS,3.459205392
2020-07-13,ILS,3.4447877129
