date, base, rates
2020-05-27,INR,75.7392411973
2020-05-27,INR,75.7392411973
2020-05-28,INR,75.7657044299
2020-05-29,INR,75.5230783046
2020-05-29,INR,75.5230783046
2020-05-29,INR,75.5230783046
2020-06-01,INR,75.5109751709
2020-06-02,INR,75.2094147127
2020-06-03,INR,75.4917813114
2020-06-04,INR,75.4951111111
2020-06-05,INR,75.5781112092
2020-06-05,INR,75.5781112092
2020-06-05,INR,75.5781112092
2020-06-08,INR,75.5347806823
2020-06-09,INR,75.5343545245
2020-06-10,INR,75.5191208791
2020-06-11,INR,75.8345082834
2020-06-12,INR,75.8912774239
2020-06-12,INR,75.8912774239
2020-06-12,INR,75.8912774239
2020-06-15,INR,76.004176664
2020-06-16,INR,76.0948001415
2020-06-17,INR,76.166755698
2020-06-18,INR,76.3437889859
2020-06-19,INR,76.139161463
2020-06-19,INR,76.139161463
2020-06-19,INR,76.139161463
2020-06-22,INR,76.0354053331
2020-06-23,INR,75.4886022265
2020-06-24,INR,75.6458333333
2020-06-25,INR,75.6357142857
2020-06-26,INR,75.6456791224
2020-06-26,INR,75.6456791224
2020-06-26,INR,75.6456791224
2020-06-29,INR,75.4980503368
2020-06-30,INR,75.5701911056
2020-07-01,INR,75.5553571429
2020-07-02,INR,74.7421584264
2020-07-03,INR,74.6801496793
2020-07-03,INR,74.6801496793
2020-07-03,INR,74.6801496793
2020-07-06,INR,74.5726269316
2020-07-07,INR,74.8135518158
2020-07-08,INR,75.0004430268
2020-07-09,INR,74.982807265
2020-07-10,INR,75.2403334516
2020-07-10,INR,75.2403334516
2020-07-10,INR,75.2403334516
2020-07-13,INR,75.2193485745
2020-07-14,INR,75.4043956044
2020-07-15,INR,75.1232086683
2020-07-16,INR,75.2194673208
2020-07-17,INR,74.9649982499
2020-07-17,INR,74.9649982499
2020-07-17,INR,74.9649982499
2020-07-20,INR,74.803895877
2020-07-21,INR,74.6137376562
2020-07-22,INR,74.5275522543
2020-07-23,INR,74.8353358112
2020-07-24,INR,74.8328738801
2020-07-24,INR,74.8328738801
2020-07-24,INR,74.8328738801
2020-07-27,INR,74.7321428571
2020-07-28,INR,74.8604591619
2020-07-29,INR,74.7923240938
2020-07-30,INR,74.8871668228
2020-07-31,INR,74.8105165429
2020-07-31,INR,74.8105165429
2020-07-31,INR,74.8105165429
2020-08-03,INR,75.2008357496
2020-08-04,INR,75.1215469613
2020-08-05,INR,74.8346549688
2020-08-06,INR,74.9514481128
2020-08-07,INR,75.0046543116
2020-08-07,INR,75.0046543116
2020-08-07,INR,75.0046543116
2020-08-10,INR,74.9064864405
2020-08-11,INR,74.5667487058
2020-08-12,INR,74.8033302183
2020-08-13,INR,74.8449252092
2020-08-14,INR,74.8903750106
2020-08-14,INR,74.8903750106
2020-08-14,INR,74.8903750106
2020-08-17,INR,74.8245169999
2020-08-18,INR,74.650596338
2020-08-19,INR,74.8479007794
2020-08-20,INR,75.0987341772
2020-08-21,INR,74.9409465545
2020-08-21,INR,74.9409465545
2020-08-21,INR,74.9409465545
2020-08-24,INR,74.0879547565
2020-08-25,INR,74.2479261893
2020-08-26,INR,74.3175841887
2020-08-27,INR,73.9162290361
2020-08-28,INR,73.1955518254
2020-08-28,INR,73.1955518254
2020-08-28,INR,73.1955518254
2020-08-31,INR,73.2567001675
2020-09-01,INR,72.9194126971
2020-09-02,INR,73.199983138
2020-09-03,INR,73.5304325743
2020-09-04,INR,73.1954061814
2020-09-04,INR,73.1954061814
2020-09-04,INR,73.1954061814
2020-09-07,INR,73.4510317997
2020-09-08,INR,73.9126007637
2020-09-09,INR,73.5636626179
2020-09-10,INR,73.4526120348
2020-09-11,INR,73.5980259828
2020-09-11,INR,73.5980259828
2020-09-11,INR,73.5980259828
2020-09-14,INR,73.5445436174
2020-09-15,INR,73.5961150353
2020-09-16,INR,73.5247282838
2020-09-17,INR,73.6297363737
2020-09-18,INR,73.5350291558
2020-09-18,INR,73.5350291558
2020-09-18,INR,73.5350291558
2020-09-21,INR,73.5513701536
2020-09-22,INR,73.4770017036
2020-09-23,INR,73.5413102976
2020-09-24,INR,73.9497638471
2020-09-25,INR,73.6784424961
2020-09-25,INR,73.6784424961
2020-09-25,INR,73.6784424961
2020-09-28,INR,73.7150814053
2020-09-29,INR,73.7267133823
2020-09-30,INR,73.7094294499
2020-10-01,INR,73.0322498298
2020-10-02,INR,73.3482523444
2020-10-02,INR,73.3482523444
2020-10-02,INR,73.3482523444
2020-10-05,INR,73.1534670292
2020-10-06,INR,73.3967782959
2020-10-07,INR,73.2905692438
2020-10-08,INR,73.2562685933
2020-10-09,INR,73.0805426028
2020-10-09,INR,73.0805426028
2020-10-09,INR,73.0805426028
2020-10-12,INR,73.2909568608
2020-10-13,INR,73.3223042335
2020-10-14,INR,73.2761702128
2020-10-15,INR,73.4749529834
2020-10-16,INR,73.3084916106
2020-10-16,INR,73.3084916106
2020-10-16,INR,73.3084916106
2020-10-19,INR,73.3088672041
2020-10-20,INR,73.5364098222
2020-10-21,INR,73.7213128586
2020-10-22,INR,73.6925809999
2020-10-23,INR,73.6542678812
2020-10-23,INR,73.6542678812
2020-10-23,INR,73.6542678812
2020-10-26,INR,74.0743717743
2020-10-27,INR,73.6675963489
2020-10-28,INR,74.0206361388
2020-10-29,INR,74.4074675325
2020-10-30,INR,74.4670029065
2020-10-30,INR,74.4670029065
2020-10-30,INR,74.4670029065
2020-11-02,INR,74.4554582904
2020-11-03,INR,74.4056571526
2020-11-04,INR,74.3925432984
2020-11-05,INR,74.0113876002
2020-11-06,INR,74.1436394271
2020-11-06,INR,74.1436394271
2020-11-06,INR,74.1436394271
2020-11-09,INR,73.750736346
2020-11-10,INR,74.2433096206
2020-11-11,INR,74.4195138535
2020-11-12,INR,74.6891697057
2020-11-13,INR,74.6390181972
2020-11-13,INR,74.6390181972
2020-11-13,INR,74.6390181972
2020-11-16,INR,74.454353339
2020-11-17,INR,74.4676822084
2020-11-18,INR,74.1582406471
2020-11-19,INR,74.2030087897
2020-11-20,INR,74.1304897581
2020-11-20,INR,74.1304897581
2020-11-20,INR,74.1304897581
2020-11-23,INR,74.0307537182
2020-11-24,INR,74.0872313527
2020-11-25,INR,73.8889823381
2020-11-26,INR,73.8365546218
2020-11-27,INR,74.066012414
2020-11-27,INR,74.066012414
2020-11-27,INR,74.066012414
2020-11-30,INR,74.0669449082
2020-12-01,INR,73.6576704545
2020-12-02,INR,73.73570363
2020-12-03,INR,73.8284914822
2020-12-04,INR,73.7523645037
2020-12-04,INR,73.7523645037
2020-12-04,INR,73.7523645037
2020-12-07,INR,73.9021273087
2020-12-08,INR,73.6362885917
2020-12-09,INR,73.6741266826
2020-12-10,INR,73.6702434998
2020-12-11,INR,73.7779335367
2020-12-11,INR,73.7779335367
2020-12-11,INR,73.7779335367
2020-12-14,INR,73.5491695445
2020-12-15,INR,73.5914332784
2020-12-16,INR,73.650832718
2020-12-17,INR,73.5881104034
2020-12-18,INR,73.5108899584
2020-12-18,INR,73.5108899584
2020-12-18,INR,73.5108899584
2020-12-21,INR,74.0440318738
2020-12-22,INR,73.8602009968
2020-12-23,INR,73.80774289
2020-12-24,INR,73.5540884114
2020-12-24,INR,73.5540884114
2020-12-24,INR,73.5540884114
2020-12-24,INR,73.5540884114
2020-12-28,INR,73.5039692283
2020-12-29,INR,73.3681376948
2020-12-30,INR,73.1881768586
2020-12-31,INR,73.0669872056
2020-12-31,INR,73.0669872056
2020-12-31,INR,73.0669872056
2020-12-31,INR,73.0669872056
2021-01-04,INR,73.0229342876
2021-01-05,INR,73.2352701491
2021-01-06,INR,73.1107148646
2021-01-07,INR,73.3508471815
2021-01-08,INR,73.3040816327
2021-01-08,INR,73.3040816327
2021-01-08,INR,73.3040816327
2021-01-11,INR,73.4572062813
2021-01-12,INR,73.2600115122
2021-01-13,INR,73.1625020549
2021-01-14,INR,73.1297426592
2021-01-15,INR,73.1143281366
2021-01-15,INR,73.1143281366
2021-01-15,INR,73.1143281366
2021-01-18,INR,73.306117374
2021-01-19,INR,73.1557039235
2021-01-20,INR,73.0253698041
2021-01-21,INR,72.9741733838
2021-01-22,INR,73.0111860503
2021-01-22,INR,73.0111860503
2021-01-22,INR,73.0111860503
2021-01-25,INR,72.9344963792
2021-01-26,INR,72.9272008565
2021-01-27,INR,73.0047878488
2021-01-28,INR,73.0468943843
2021-01-29,INR,72.867501648
2021-01-29,INR,72.867501648
2021-01-29,INR,72.867501648
2021-02-01,INR,73.1090698444
2021-02-02,INR,72.9873796081
2021-02-03,INR,72.9121244903
2021-02-04,INR,72.8863787929
2021-02-05,INR,72.9091212551
2021-02-05,INR,72.9091212551
2021-02-05,INR,72.9091212551
2021-02-08,INR,72.9513513514
2021-02-09,INR,72.9316754792
2021-02-10,INR,72.8279871361
2021-02-11,INR,72.7784638182
2021-02-12,INR,72.5776346217
2021-02-12,INR,72.5776346217
2021-02-12,INR,72.5776346217
2021-02-15,INR,72.6094484294
2021-02-16,INR,72.8152021741
2021-02-17,INR,72.7976782753
2021-02-18,INR,72.5500662032
2021-02-19,INR,72.5055605898
2021-02-19,INR,72.5055605898
2021-02-19,INR,72.5055605898
2021-02-22,INR,72.5063875381
2021-02-23,INR,72.5170880343
2021-02-24,INR,72.3497447719
2021-02-25,INR,72.6331288344
2021-02-26,INR,73.9019882848
2021-02-26,INR,73.9019882848
2021-02-26,INR,73.9019882848
2021-03-01,INR,73.5638430266
