date, base, rates
2020-05-27,ISK,137.5671003548
2020-05-27,ISK,137.5671003548
2020-05-28,ISK,136.8917937545
2020-05-29,ISK,135.4166666667
2020-05-29,ISK,135.4166666667
2020-05-29,ISK,135.4166666667
2020-06-01,ISK,135.8402302987
2020-06-02,ISK,135.1351351351
2020-06-03,ISK,134.8936930498
2020-06-04,ISK,132.0
2020-06-05,ISK,131.4210061783
2020-06-05,ISK,131.4210061783
2020-06-05,ISK,131.4210061783
2020-06-08,ISK,132.4767390341
2020-06-09,ISK,132.548255711
2020-06-10,ISK,132.4835164835
2020-06-11,ISK,133.6799436024
2020-06-12,ISK,134.5541401274
2020-06-12,ISK,134.5541401274
2020-06-12,ISK,134.5541401274
2020-06-15,ISK,134.8084955123
2020-06-16,ISK,135.1344181111
2020-06-17,ISK,135.6837606838
2020-06-18,ISK,136.7848868294
2020-06-19,ISK,137.9125780553
2020-06-19,ISK,137.9125780553
2020-06-19,ISK,137.9125780553
2020-06-22,ISK,138.3215910104
2020-06-23,ISK,138.5403781587
2020-06-24,ISK,139.2730496454
2020-06-25,ISK,138.9285714286
2020-06-26,ISK,138.2324088112
2020-06-26,ISK,138.2324088112
2020-06-26,ISK,138.2324088112
2020-06-29,ISK,137.7171215881
2020-06-30,ISK,138.7747812109
2020-07-01,ISK,138.9285714286
2020-07-02,ISK,138.4015594542
2020-07-03,ISK,139.2551674982
2020-07-03,ISK,139.2551674982
2020-07-03,ISK,139.2551674982
2020-07-06,ISK,138.8079470199
2020-07-07,ISK,139.0611160319
2020-07-08,ISK,139.4648236754
2020-07-09,ISK,139.922412273
2020-07-10,ISK,141.0074494502
2020-07-10,ISK,141.0074494502
2020-07-10,ISK,141.0074494502
2020-07-13,ISK,140.7008562097
2020-07-14,ISK,140.1318681319
