date, base, rates
2020-05-27,JPY,107.8882722227
2020-05-27,JPY,107.8882722227
2020-05-28,JPY,107.734204793
2020-05-29,JPY,107.1210488506
2020-05-29,JPY,107.1210488506
2020-05-29,JPY,107.1210488506
2020-06-01,JPY,107.7275998561
2020-06-02,JPY,108.1349561482
2020-06-03,JPY,108.5760228694
2020-06-04,JPY,108.8711111111
2020-06-05,JPY,109.2409532215
2020-06-05,JPY,109.2409532215
2020-06-05,JPY,109.2409532215
2020-06-08,JPY,109.3575542756
2020-06-09,JPY,108.1459181866
2020-06-10,JPY,107.3934065934
2020-06-11,JPY,107.0849488897
2020-06-12,JPY,107.2717622081
2020-06-12,JPY,107.2717622081
2020-06-12,JPY,107.2717622081
2020-06-15,JPY,107.3758108949
2020-06-16,JPY,107.348779625
2020-06-17,JPY,107.4163105413
2020-06-18,JPY,106.9328105507
2020-06-19,JPY,106.8421052632
2020-06-19,JPY,106.8421052632
2020-06-19,JPY,106.8421052632
2020-06-22,JPY,106.9205386605
2020-06-23,JPY,106.9535253578
2020-06-24,JPY,106.6489361702
2020-06-25,JPY,107.3660714286
2020-06-26,JPY,106.9562115402
2020-06-26,JPY,106.9562115402
2020-06-26,JPY,106.9562115402
2020-06-29,JPY,107.2935129387
2020-06-30,JPY,107.7513841757
2020-07-01,JPY,107.4196428571
2020-07-02,JPY,107.4251284778
2020-07-03,JPY,107.5196008553
2020-07-03,JPY,107.5196008553
2020-07-03,JPY,107.5196008553
2020-07-06,JPY,107.53200883
2020-07-07,JPY,107.7147918512
2020-07-08,JPY,107.5580365054
2020-07-09,JPY,107.2738494093
2020-07-10,JPY,106.8463994324
2020-07-10,JPY,106.8463994324
2020-07-10,JPY,106.8463994324
2020-07-13,JPY,107.1586194722
2020-07-14,JPY,107.4021978022
2020-07-15,JPY,106.8245368752
2020-07-16,JPY,107.0965480988
2020-07-17,JPY,107.2191109555
2020-07-17,JPY,107.2191109555
2020-07-17,JPY,107.2191109555
2020-07-20,JPY,107.1191474493
2020-07-21,JPY,107.2271257537
2020-07-22,JPY,107.0478493695
2020-07-23,JPY,107.1657014435
2020-07-24,JPY,106.2715368711
2020-07-24,JPY,106.2715368711
2020-07-24,JPY,106.2715368711
2020-07-27,JPY,105.3401360544
2020-07-28,JPY,105.2658530341
2020-07-29,JPY,105.1428571429
2020-07-30,JPY,105.2371625649
2020-07-31,JPY,104.9206617151
2020-07-31,JPY,104.9206617151
2020-07-31,JPY,104.9206617151
2020-08-03,JPY,106.1828415487
2020-08-04,JPY,106.0603484913
2020-08-05,JPY,105.7617681795
2020-08-06,JPY,105.5138056236
2020-08-07,JPY,105.7036472878
2020-08-07,JPY,105.7036472878
2020-08-07,JPY,105.7036472878
2020-08-10,JPY,106.0443764346
2020-08-11,JPY,106.0595773572
2020-08-12,JPY,106.9747684989
2020-08-13,JPY,106.9720273811
2020-08-14,JPY,106.6706171167
2020-08-14,JPY,106.6706171167
2020-08-14,JPY,106.6706171167
2020-08-17,JPY,106.2937652915
2020-08-18,JPY,105.4426339661
2020-08-19,JPY,105.3716584262
2020-08-20,JPY,105.8734177215
2020-08-21,JPY,105.8118786643
2020-08-21,JPY,105.8118786643
2020-08-21,JPY,105.8118786643
2020-08-24,JPY,105.7314087955
2020-08-25,JPY,106.373793804
2020-08-26,JPY,106.3194503351
2020-08-27,JPY,106.1663560901
2020-08-28,JPY,105.2370960974
2020-08-28,JPY,105.2370960974
2020-08-28,JPY,105.2370960974
2020-08-31,JPY,105.9212730318
2020-09-01,JPY,105.8813714858
2020-09-02,JPY,106.2305033302
2020-09-03,JPY,106.5351731144
2020-09-04,JPY,106.2236108765
2020-09-04,JPY,106.2236108765
2020-09-04,JPY,106.2236108765
2020-09-07,JPY,106.2161705007
2020-09-08,JPY,106.2367416207
2020-09-09,JPY,106.2176165803
2020-09-10,JPY,106.135538864
2020-09-11,JPY,106.1413868736
2020-09-11,JPY,106.1413868736
2020-09-11,JPY,106.1413868736
2020-09-14,JPY,105.9447625463
2020-09-15,JPY,105.4406323579
2020-09-16,JPY,105.080461707
2020-09-17,JPY,104.5859116725
2020-09-18,JPY,104.3606862165
2020-09-18,JPY,104.3606862165
2020-09-18,JPY,104.3606862165
2020-09-21,JPY,104.0977347926
2020-09-22,JPY,104.5826235094
2020-09-23,JPY,105.1231611358
2020-09-24,JPY,105.3928724775
2020-09-25,JPY,105.5011174145
2020-09-25,JPY,105.5011174145
2020-09-25,JPY,105.5011174145
2020-09-28,JPY,105.4155955441
2020-09-29,JPY,105.6315159802
2020-09-30,JPY,105.7055005125
2020-10-01,JPY,105.4969366916
2020-10-02,JPY,105.200341006
2020-10-02,JPY,105.200341006
2020-10-02,JPY,105.200341006
2020-10-05,JPY,105.5829367777
2020-10-06,JPY,105.6210258584
2020-10-07,JPY,105.9728122345
2020-10-08,JPY,105.9838504037
2020-10-09,JPY,105.9347181009
2020-10-09,JPY,105.9347181009
2020-10-09,JPY,105.9347181009
2020-10-12,JPY,105.4411390796
2020-10-13,JPY,105.5230338509
2020-10-14,JPY,105.2765957447
2020-10-15,JPY,105.2744058813
2020-10-16,JPY,105.2636061664
2020-10-16,JPY,105.2636061664
2020-10-16,JPY,105.2636061664
2020-10-19,JPY,105.311837081
2020-10-20,JPY,105.6646909399
2020-10-21,JPY,104.8515018562
2020-10-22,JPY,104.6611961763
2020-10-23,JPY,104.7317813765
2020-10-23,JPY,104.7317813765
2020-10-23,JPY,104.7317813765
2020-10-26,JPY,105.0342668584
2020-10-27,JPY,104.5807978364
2020-10-28,JPY,104.3404110173
2020-10-29,JPY,104.3147641832
2020-10-30,JPY,104.5990767653
2020-10-30,JPY,104.5990767653
2020-10-30,JPY,104.5990767653
2020-11-02,JPY,104.642979746
2020-11-03,JPY,104.7342334644
2020-11-04,JPY,104.3511645764
2020-11-05,JPY,103.6355967946
2020-11-06,JPY,103.3361415333
2020-11-06,JPY,103.3361415333
2020-11-06,JPY,103.3361415333
2020-11-09,JPY,104.9145838593
2020-11-10,JPY,105.3184281843
2020-11-11,JPY,105.4479007309
2020-11-12,JPY,105.3769824442
2020-11-13,JPY,104.849767245
2020-11-13,JPY,104.849767245
2020-11-13,JPY,104.849767245
2020-11-16,JPY,104.9450549451
2020-11-17,JPY,104.1743814173
2020-11-18,JPY,103.8759689922
2020-11-19,JPY,104.0229885057
2020-11-20,JPY,103.8354547754
2020-11-20,JPY,103.8354547754
2020-11-20,JPY,103.8354547754
2020-11-23,JPY,103.7475842366
2020-11-24,JPY,104.5596291614
2020-11-25,JPY,104.449116905
2020-11-26,JPY,104.2352941176
2020-11-27,JPY,104.2023150478
2020-11-27,JPY,104.2023150478
2020-11-27,JPY,104.2023150478
2020-11-30,JPY,104.1652754591
2020-12-01,JPY,104.378342246
2020-12-02,JPY,104.5333996353
2020-12-03,JPY,104.0984281129
2020-12-04,JPY,103.9888148696
2020-12-04,JPY,103.9888148696
2020-12-04,JPY,103.9888148696
2020-12-07,JPY,104.139182058
2020-12-08,JPY,104.1604754829
2020-12-09,JPY,104.0961268478
2020-12-10,JPY,104.4407758976
2020-12-11,JPY,104.1312773151
2020-12-11,JPY,104.1312773151
2020-12-11,JPY,104.1312773151
2020-12-14,JPY,103.6918270021
2020-12-15,JPY,103.8550247117
2020-12-16,JPY,103.3472803347
2020-12-17,JPY,103.0458925363
2020-12-18,JPY,103.3444816054
2020-12-18,JPY,103.3444816054
2020-12-18,JPY,103.3444816054
2020-12-21,JPY,103.5406226896
2020-12-22,JPY,103.3744586976
2020-12-23,JPY,103.5590991287
2020-12-24,JPY,103.6496350365
2020-12-24,JPY,103.6496350365
2020-12-24,JPY,103.6496350365
2020-12-24,JPY,103.6496350365
2020-12-28,JPY,103.5600294623
2020-12-29,JPY,103.7849743046
2020-12-30,JPY,103.0616399316
2020-12-31,JPY,103.0804335425
2020-12-31,JPY,103.0804335425
2020-12-31,JPY,103.0804335425
2020-12-31,JPY,103.0804335425
2021-01-04,JPY,102.9765777489
2021-01-05,JPY,102.8848504604
2021-01-06,JPY,102.9583400875
2021-01-07,JPY,103.559791463
2021-01-08,JPY,103.8857142857
2021-01-08,JPY,103.8857142857
2021-01-08,JPY,103.8857142857
2021-01-11,JPY,104.2177094467
2021-01-12,JPY,104.2184030919
2021-01-13,JPY,103.92898241
