date, base, rates
2020-05-27,KRW,1236.5025930307
2020-05-27,KRW,1236.5025930307
2020-05-28,KRW,1237.9811183733
2020-05-29,KRW,1235.8207614943
2020-05-29,KRW,1235.8207614943
2020-05-29,KRW,1235.8207614943
2020-06-01,KRW,1227.4559193955
2020-06-02,KRW,1221.0667621264
2020-06-03,KRW,1218.5903162408
2020-06-04,KRW,1216.6488888889
2020-06-05,KRW,1205.2691968226
2020-06-05,KRW,1205.2691968226
2020-06-05,KRW,1205.2691968226
2020-06-08,KRW,1199.1138679663
2020-06-09,KRW,1198.2468567381
2020-06-10,KRW,1188.7208791209
2020-06-11,KRW,1197.726471625
2020-06-12,KRW,1203.5120311394
2020-06-12,KRW,1203.5120311394
2020-06-12,KRW,1203.5120311394
2020-06-15,KRW,1213.9696081045
2020-06-16,KRW,1210.744605589
2020-06-17,KRW,1212.7938034188
2020-06-18,KRW,1211.2457672429
2020-06-19,KRW,1207.4308652988
2020-06-19,KRW,1207.4308652988
2020-06-19,KRW,1207.4308652988
2020-06-22,KRW,1214.0372781593
2020-06-23,KRW,1207.3776285563
2020-06-24,KRW,1202.4734042553
2020-06-25,KRW,1203.3303571429
2020-06-26,KRW,1200.5618478552
2020-06-26,KRW,1200.5618478552
2020-06-26,KRW,1200.5618478552
2020-06-29,KRW,1198.8745125842
2020-06-30,KRW,1201.8485443829
2020-07-01,KRW,1203.4285714286
2020-07-02,KRW,1199.6278575226
2020-07-03,KRW,1199.6970776907
2020-07-03,KRW,1199.6970776907
2020-07-03,KRW,1199.6970776907
2020-07-06,KRW,1192.5033112583
2020-07-07,KRW,1194.9158547387
2020-07-08,KRW,1195.1621477937
2020-07-09,KRW,1194.1015693881
2020-07-10,KRW,1201.4012061015
2020-07-10,KRW,1201.4012061015
2020-07-10,KRW,1201.4012061015
2020-07-13,KRW,1201.6682849325
2020-07-14,KRW,1206.1362637363
2020-07-15,KRW,1200.2359314925
2020-07-16,KRW,1203.5570352199
2020-07-17,KRW,1204.5414770739
2020-07-17,KRW,1204.5414770739
2020-07-17,KRW,1204.5414770739
2020-07-20,KRW,1202.891334731
2020-07-21,KRW,1195.4557371319
2020-07-22,KRW,1195.6987389877
2020-07-23,KRW,1200.890310312
2020-07-24,KRW,1203.3339076499
2020-07-24,KRW,1203.3339076499
2020-07-24,KRW,1203.3339076499
2020-07-27,KRW,1196.556122449
2020-07-28,KRW,1200.0768114705
2020-07-29,KRW,1194.2174840085
2020-07-30,KRW,1195.7421442562
2020-07-31,KRW,1189.7029034436
2020-07-31,KRW,1189.7029034436
2020-07-31,KRW,1189.7029034436
2020-08-03,KRW,1195.0025584172
2020-08-04,KRW,1195.4866128347
2020-08-05,KRW,1185.878184579
2020-08-06,KRW,1186.3463649413
2020-08-07,KRW,1186.3417110942
2020-08-07,KRW,1186.3417110942
2020-08-07,KRW,1186.3417110942
2020-08-10,KRW,1187.0101164669
2020-08-11,KRW,1182.882118306
2020-08-12,KRW,1184.1984538272
2020-08-13,KRW,1185.0080283952
2020-08-14,KRW,1186.9211885211
2020-08-14,KRW,1186.9211885211
2020-08-14,KRW,1186.9211885211
2020-08-17,KRW,1186.0879102337
2020-08-18,KRW,1184.3440282211
2020-08-19,KRW,1178.2200620129
2020-08-20,KRW,1188.3713080169
2020-08-21,KRW,1192.242331549
2020-08-21,KRW,1192.242331549
2020-08-21,KRW,1192.242331549
2020-08-24,KRW,1187.0684561492
2020-08-25,KRW,1186.8291857119
2020-08-26,KRW,1186.6740181525
2020-08-27,KRW,1185.6259529053
2020-08-28,KRW,1181.0658833403
2020-08-28,KRW,1181.0658833403
2020-08-28,KRW,1181.0658833403
2020-08-31,KRW,1185.7286432161
2020-09-01,KRW,1184.7167765079
2020-09-02,KRW,1187.1427367001
2020-09-03,KRW,1190.7644120884
2020-09-04,KRW,1189.8919101503
2020-09-04,KRW,1189.8919101503
2020-09-04,KRW,1189.8919101503
2020-09-07,KRW,1188.3372801083
2020-09-08,KRW,1189.7666525244
2020-09-09,KRW,1187.3269345112
2020-09-10,KRW,1186.4629926576
2020-09-11,KRW,1187.0001687194
2020-09-11,KRW,1187.0001687194
2020-09-11,KRW,1187.0001687194
2020-09-14,KRW,1182.8309195015
2020-09-15,KRW,1177.8758829465
2020-09-16,KRW,1171.7246608813
2020-09-17,KRW,1172.4675765025
2020-09-18,KRW,1162.8158539677
2020-09-18,KRW,1162.8158539677
2020-09-18,KRW,1162.8158539677
2020-09-21,KRW,1164.7068804615
2020-09-22,KRW,1161.7291311755
2020-09-23,KRW,1165.5833048238
2020-09-24,KRW,1174.366680979
2020-09-25,KRW,1175.4942410177
2020-09-25,KRW,1175.4942410177
2020-09-25,KRW,1175.4942410177
2020-09-28,KRW,1169.4258783205
2020-09-29,KRW,1167.2278243035
2020-09-30,KRW,1168.8674410659
2020-10-01,KRW,1161.5299523485
2020-10-02,KRW,1163.410059676
2020-10-02,KRW,1163.410059676
2020-10-02,KRW,1163.410059676
2020-10-05,KRW,1158.8375254929
2020-10-06,KRW,1160.2289105553
2020-10-07,KRW,1157.7740016992
2020-10-08,KRW,1152.1291967701
2020-10-09,KRW,1144.9936413735
2020-10-09,KRW,1144.9936413735
2020-10-09,KRW,1144.9936413735
2020-10-12,KRW,1148.6566658191
2020-10-13,KRW,1146.1779927038
2020-10-14,KRW,1146.1276595745
2020-10-15,KRW,1148.982732091
2020-10-16,KRW,1142.2877097351
2020-10-16,KRW,1142.2877097351
2020-10-16,KRW,1142.2877097351
2020-10-19,KRW,1138.1671616462
2020-10-20,KRW,1140.0084674005
2020-10-21,KRW,1133.2095848802
2020-10-22,KRW,1134.9801201252
2020-10-23,KRW,1128.9811066127
2020-10-23,KRW,1128.9811066127
2020-10-23,KRW,1128.9811066127
2020-10-26,KRW,1132.3377612319
2020-10-27,KRW,1126.5128465179
2020-10-28,KRW,1136.2752622154
2020-10-29,KRW,1133.7320574163
2020-10-30,KRW,1131.988374081
2020-10-30,KRW,1131.988374081
2020-10-30,KRW,1131.988374081
2020-11-02,KRW,1133.3762444216
2020-11-03,KRW,1131.2083404546
2020-11-04,KRW,1132.3607200751
2020-11-05,KRW,1122.4630957402
2020-11-06,KRW,1122.6621735468
2020-11-06,KRW,1122.6621735468
2020-11-06,KRW,1122.6621735468
2020-11-09,KRW,1112.0339981486
2020-11-10,KRW,1116.9800135501
2020-11-11,KRW,1114.3464218936
2020-11-12,KRW,1114.7400559749
2020-11-13,KRW,1110.3173931443
2020-11-13,KRW,1110.3173931443
2020-11-13,KRW,1110.3173931443
2020-11-16,KRW,1107.7768385461
2020-11-17,KRW,1106.4972226898
2020-11-18,KRW,1104.271991911
2020-11-19,KRW,1116.5229885057
2020-11-20,KRW,1115.4514035236
2020-11-20,KRW,1115.4514035236
2020-11-20,KRW,1115.4514035236
2020-11-23,KRW,1111.9485757499
2020-11-24,KRW,1111.4791403287
2020-11-25,KRW,1106.4928511354
2020-11-26,KRW,1107.7647058824
2020-11-27,KRW,1105.5527596041
2020-11-27,KRW,1105.5527596041
2020-11-27,KRW,1105.5527596041
2020-11-30,KRW,1106.9115191987
2020-12-01,KRW,1108.5561497326
2020-12-02,KRW,1102.4365987071
2020-12-03,KRW,1091.1941404
2020-12-04,KRW,1086.109055021
2020-12-04,KRW,1086.109055021
2020-12-04,KRW,1086.109055021
2020-12-07,KRW,1085.8179419525
2020-12-08,KRW,1085.1329040779
2020-12-09,KRW,1085.3662565034
2020-12-10,KRW,1088.336772596
2020-12-11,KRW,1092.867155933
2020-12-11,KRW,1092.867155933
2020-12-11,KRW,1092.867155933
2020-12-14,KRW,1091.5145535274
2020-12-15,KRW,1093.6490939044
2020-12-16,KRW,1093.5269505292
2020-12-17,KRW,1092.9936305732
2020-12-18,KRW,1098.7437800799
2020-12-18,KRW,1098.7437800799
2020-12-18,KRW,1098.7437800799
