date, base, rates
2020-05-27,MYR,4.3474661086
2020-05-27,MYR,4.3474661086
2020-05-28,MYR,4.3554829339
2020-05-29,MYR,4.3475215517
2020-05-29,MYR,4.3475215517
2020-05-29,MYR,4.3475215517
2020-06-01,MYR,4.3184598777
2020-06-02,MYR,4.2775192411
2020-06-03,MYR,4.2614793639
2020-06-04,MYR,4.2735111111
2020-06-05,MYR,4.2669902913
2020-06-05,MYR,4.2669902913
2020-06-05,MYR,4.2669902913
2020-06-08,MYR,4.267523261
2020-06-09,MYR,4.2754559943
2020-06-10,MYR,4.2515164835
2020-06-11,MYR,4.2494712725
2020-06-12,MYR,4.2675159236
2020-06-12,MYR,4.2675159236
2020-06-12,MYR,4.2675159236
2020-06-15,MYR,4.277970319
2020-06-16,MYR,4.2750265299
2020-06-17,MYR,4.2819622507
2020-06-18,MYR,4.2780253074
