date, base, rates
2020-05-27,NOK,9.8519697935
2020-05-27,NOK,9.8519697935
2020-05-28,NOK,9.8541212781
2020-05-29,NOK,9.6875
2020-05-29,NOK,9.6875
2020-05-29,NOK,9.6875
2020-06-01,NOK,9.705829435
2020-06-02,NOK,9.5577232862
2020-06-03,NOK,9.5387707701
2020-06-04,NOK,9.4264888889
2020-06-05,NOK,9.3030008826
2020-06-05,NOK,9.3030008826
2020-06-05,NOK,9.3030008826
2020-06-08,NOK,9.2692069118
2020-06-09,NOK,9.3339826457
2020-06-10,NOK,9.2644395604
2020-06-11,NOK,9.4465985196
2020-06-12,NOK,9.5961606511
2020-06-12,NOK,9.5961606511
2020-06-12,NOK,9.5961606511
2020-06-15,NOK,9.6768861637
2020-06-16,NOK,9.4967279802
2020-06-17,NOK,9.5308048433
2020-06-18,NOK,9.5422384602
2020-06-19,NOK,9.5570918822
2020-06-19,NOK,9.5570918822
2020-06-19,NOK,9.5570918822
2020-06-22,NOK,9.6303397842
2020-06-23,NOK,9.4844495494
2020-06-24,NOK,9.5707446809
2020-06-25,NOK,9.7096428571
2020-06-26,NOK,9.7074823865
2020-06-26,NOK,9.7074823865
2020-06-26,NOK,9.7074823865
2020-06-29,NOK,9.6608472173
2020-06-30,NOK,9.7445972495
2020-07-01,NOK,9.6192857143
2020-07-02,NOK,9.469519759
2020-07-03,NOK,9.5130969351
2020-07-03,NOK,9.5130969351
2020-07-03,NOK,9.5130969351
2020-07-06,NOK,9.3790728477
2020-07-07,NOK,9.4267493357
2020-07-08,NOK,9.4705830232
2020-07-09,NOK,9.3610474343
2020-07-10,NOK,9.5036360411
2020-07-10,NOK,9.5036360411
2020-07-10,NOK,9.5036360411
2020-07-13,NOK,9.4138935475
2020-07-14,NOK,9.4162637363
2020-07-15,NOK,9.2865256903
2020-07-16,NOK,9.2998072542
2020-07-17,NOK,9.2750262513
2020-07-17,NOK,9.2750262513
2020-07-17,NOK,9.2750262513
2020-07-20,NOK,9.2645003494
2020-07-21,NOK,9.1700602989
2020-07-22,NOK,9.0985489722
2020-07-23,NOK,9.1687267698
2020-07-24,NOK,9.213731909
2020-07-24,NOK,9.213731909
2020-07-24,NOK,9.213731909
2020-07-27,NOK,9.0716836735
2020-07-28,NOK,9.1269096185
2020-07-29,NOK,9.0893816631
2020-07-30,NOK,9.1299497573
2020-07-31,NOK,9.0583220797
2020-07-31,NOK,9.0583220797
2020-07-31,NOK,9.0583220797
2020-08-03,NOK,9.1410540679
2020-08-04,NOK,9.1430514237
2020-08-05,NOK,8.9914796693
2020-08-06,NOK,8.9958625348
2020-08-07,NOK,9.0067699078
2020-08-07,NOK,9.0067699078
2020-08-07,NOK,9.0067699078
2020-08-10,NOK,9.0359602142
2020-08-11,NOK,8.9669863362
2020-08-12,NOK,8.9595616345
2020-08-13,NOK,8.8859967886
2020-08-14,NOK,8.9226276136
2020-08-14,NOK,8.9226276136
2020-08-14,NOK,8.9226276136
2020-08-17,NOK,8.8686408504
2020-08-18,NOK,8.819922728
2020-08-19,NOK,8.837258024
2020-08-20,NOK,8.9508860759
2020-08-21,NOK,8.9993202481
2020-08-21,NOK,8.9993202481
2020-08-21,NOK,8.9993202481
2020-08-24,NOK,8.9632818435
2020-08-25,NOK,8.9459962756
2020-08-26,NOK,8.9577572313
2020-08-27,NOK,8.9088599017
2020-08-28,NOK,8.787242971
2020-08-28,NOK,8.787242971
2020-08-28,NOK,8.787242971
2020-08-31,NOK,8.756281407
2020-09-01,NOK,8.7075998999
2020-09-02,NOK,8.7732906163
2020-09-03,NOK,8.9151781935
2020-09-04,NOK,8.931599392
2020-09-04,NOK,8.931599392
2020-09-04,NOK,8.931599392
2020-09-07,NOK,8.9185554804
2020-09-08,NOK,9.0549851506
2020-09-09,NOK,9.1013335598
2020-09-10,NOK,9.0193265254
2020-09-11,NOK,9.0288510208
2020-09-11,NOK,9.0288510208
2020-09-11,NOK,9.0288510208
2020-09-14,NOK,9.0041259683
2020-09-15,NOK,8.9945341406
2020-09-16,NOK,8.9820540905
2020-09-17,NOK,9.0902771891
2020-09-18,NOK,9.0879743091
2020-09-18,NOK,9.0879743091
2020-09-18,NOK,9.0879743091
2020-09-21,NOK,9.2339017562
2020-09-22,NOK,9.329471891
2020-09-23,NOK,9.4028395484
2020-09-24,NOK,9.5339630743
2020-09-25,NOK,9.5792504728
2020-09-25,NOK,9.5792504728
2020-09-25,NOK,9.5792504728
2020-09-28,NOK,9.4755784062
2020-09-29,NOK,9.446504871
2020-09-30,NOK,9.4813802528
2020-10-01,NOK,9.281228727
2020-10-02,NOK,9.2958226769
2020-10-02,NOK,9.2958226769
2020-10-02,NOK,9.2958226769
2020-10-05,NOK,9.2500849762
2020-10-06,NOK,9.2075455702
2020-10-07,NOK,9.2874256585
2020-10-08,NOK,9.2679983
2020-10-09,NOK,9.2092412039
2020-10-09,NOK,9.2092412039
2020-10-09,NOK,9.2092412039
2020-10-12,NOK,9.1469616069
2020-10-13,NOK,9.1561041826
2020-10-14,NOK,9.2100425532
2020-10-15,NOK,9.3757907335
2020-10-16,NOK,9.3322544928
2020-10-16,NOK,9.3322544928
2020-10-16,NOK,9.3322544928
2020-10-19,NOK,9.2889266016
2020-10-20,NOK,9.2885690093
2020-10-21,NOK,9.2233378333
2020-10-22,NOK,9.2483715422
2020-10-23,NOK,9.2086707152
2020-10-23,NOK,9.2086707152
2020-10-23,NOK,9.2086707152
2020-10-26,NOK,9.2617818766
