date, base, rates
2020-05-27,RON,4.4066054044
2020-05-27,RON,4.4066054044
2020-05-28,RON,4.3967864924
2020-05-29,RON,4.3546156609
2020-05-29,RON,4.3546156609
2020-05-29,RON,4.3546156609
2020-06-01,RON,4.3574127384
2020-06-02,RON,4.3335421514
2020-06-03,RON,4.3231195283
2020-06-04,RON,4.2998222222
2020-06-05,RON,4.2702559576
2020-06-05,RON,4.2702559576
2020-06-05,RON,4.2702559576
2020-06-08,RON,4.2852459016
2020-06-09,RON,4.2823623163
2020-06-10,RON,4.2504615385
2020-06-11,RON,4.2602220656
2020-06-12,RON,4.2766277424
2020-06-12,RON,4.2766277424
2020-06-12,RON,4.2766277424
2020-06-15,RON,4.2952990314
2020-06-16,RON,4.2765298903
2020-06-17,RON,4.3051103989
2020-06-18,RON,4.3123329175
2020-06-19,RON,4.3200713649
2020-06-19,RON,4.3200713649
2020-06-19,RON,4.3200713649
2020-06-22,RON,4.3183804513
2020-06-23,RON,4.2797314013
2020-06-24,RON,4.2937056738
2020-06-25,RON,4.3232142857
2020-06-26,RON,4.3187371801
2020-06-26,RON,4.3187371801
2020-06-26,RON,4.3187371801
2020-06-29,RON,4.2928039702
2020-06-30,RON,4.3219324879
2020-07-01,RON,4.3183928571
2020-07-02,RON,4.2845117845
2020-07-03,RON,4.3095153243
2020-07-03,RON,4.3095153243
2020-07-03,RON,4.3095153243
2020-07-06,RON,4.2715231788
2020-07-07,RON,4.2863596103
2020-07-08,RON,4.2892078682
2020-07-09,RON,4.2680303297
2020-07-10,RON,4.2947853849
2020-07-10,RON,4.2947853849
2020-07-10,RON,4.2947853849
2020-07-13,RON,4.2760173007
2020-07-14,RON,4.258021978
2020-07-15,RON,4.2326983572
2020-07-16,RON,4.2432977046
2020-07-17,RON,4.2371368568
2020-07-17,RON,4.2371368568
