date, base, rates
2020-05-27,RUB,71.066872896
2020-05-27,RUB,71.066872896
2020-05-28,RUB,70.746459695
2020-05-29,RUB,70.4396551724
2020-05-29,RUB,70.4396551724
2020-05-29,RUB,70.4396551724
2020-06-01,RUB,69.663368118
2020-06-02,RUB,68.7310721317
2020-06-03,RUB,68.7917634447
2020-06-04,RUB,69.1672888889
2020-06-05,RUB,68.6809355693
2020-06-05,RUB,68.6809355693
2020-06-05,RUB,68.6809355693
2020-06-08,RUB,68.2820558263
2020-06-09,RUB,68.8319461661
2020-06-10,RUB,68.7004835165
2020-06-11,RUB,69.1706908706
2020-06-12,RUB,69.6799363057
2020-06-12,RUB,69.6799363057
2020-06-12,RUB,69.6799363057
2020-06-15,RUB,70.0716253444
2020-06-16,RUB,69.3659356208
2020-06-17,RUB,69.6094195157
2020-06-18,RUB,69.6901621814
2020-06-19,RUB,69.274308653
2020-06-19,RUB,69.274308653
