date, base, rates
2020-05-27,SGD,1.4182512965
2020-05-27,SGD,1.4182512965
2020-05-28,SGD,1.4180283224
2020-05-29,SGD,1.4109195402
2020-05-29,SGD,1.4109195402
2020-05-29,SGD,1.4109195402
2020-06-01,SGD,1.4095897805
2020-06-02,SGD,1.4021836406
2020-06-03,SGD,1.3986063963
2020-06-04,SGD,1.4007111111
2020-06-05,SGD,1.392321271
2020-06-05,SGD,1.392321271
2020-06-05,SGD,1.392321271
2020-06-08,SGD,1.3912272929
2020-06-09,SGD,1.3908269878
2020-06-10,SGD,1.3842637363
2020-06-11,SGD,1.3886147339
2020-06-12,SGD,1.3904812456
2020-06-12,SGD,1.3904812456
2020-06-12,SGD,1.3904812456
2020-06-15,SGD,1.3944725851
2020-06-16,SGD,1.3895472232
2020-06-17,SGD,1.3933404558
2020-06-18,SGD,1.3938691855
2020-06-19,SGD,1.3936663693
2020-06-19,SGD,1.3936663693
2020-06-19,SGD,1.3936663693
2020-06-22,SGD,1.3947204138
2020-06-23,SGD,1.3909701361
2020-06-24,SGD,1.3890070922
2020-06-25,SGD,1.3928571429
2020-06-26,SGD,1.3919557656
2020-06-26,SGD,1.3919557656
2020-06-26,SGD,1.3919557656
2020-06-29,SGD,1.3920595533
2020-06-30,SGD,1.3973923915
2020-07-01,SGD,1.3955357143
2020-07-02,SGD,1.3934077618
2020-07-03,SGD,1.3946899501
2020-07-03,SGD,1.3946899501
2020-07-03,SGD,1.3946899501
2020-07-06,SGD,1.3909933775
2020-07-07,SGD,1.3951284322
2020-07-08,SGD,1.3950912635
2020-07-09,SGD,1.3907600071
2020-07-10,SGD,1.3926037602
2020-07-10,SGD,1.3926037602
2020-07-10,SGD,1.3926037602
2020-07-13,SGD,1.3896195604
2020-07-14,SGD,1.3930549451
2020-07-15,SGD,1.3879762321
2020-07-16,SGD,1.3919747678
2020-07-17,SGD,1.3901820091
2020-07-17,SGD,1.3901820091
2020-07-17,SGD,1.3901820091
2020-07-20,SGD,1.3896750524
2020-07-21,SGD,1.3887092546
2020-07-22,SGD,1.3832268095
2020-07-23,SGD,1.3858587605
2020-07-24,SGD,1.3855099931
2020-07-24,SGD,1.3855099931
2020-07-24,SGD,1.3855099931
2020-07-27,SGD,1.3789115646
2020-07-28,SGD,1.3798753947
2020-07-29,SGD,1.3767164179
2020-07-30,SGD,1.3762241335
2020-07-31,SGD,1.3711174882
2020-07-31,SGD,1.3711174882
2020-07-31,SGD,1.3711174882
2020-08-03,SGD,1.3770254136
2020-08-04,SGD,1.3765405865
2020-08-05,SGD,1.3689893707
2020-08-06,SGD,1.3709364181
2020-08-07,SGD,1.3711601929
2020-08-07,SGD,1.3711601929
2020-08-07,SGD,1.3711601929
2020-08-10,SGD,1.3736291762
2020-08-11,SGD,1.3709581601
2020-08-12,SGD,1.3733752442
2020-08-13,SGD,1.3716724415
2020-08-14,SGD,1.3721323965
2020-08-14,SGD,1.3721323965
2020-08-14,SGD,1.3721323965
2020-08-17,SGD,1.3698641694
2020-08-18,SGD,1.3648580548
2020-08-19,SGD,1.3641163161
2020-08-20,SGD,1.3687763713
2020-08-21,SGD,1.3706347183
2020-08-21,SGD,1.3706347183
2020-08-21,SGD,1.3706347183
2020-08-24,SGD,1.3676880223
2020-08-25,SGD,1.3687150838
2020-08-26,SGD,1.3682246162
2020-08-27,SGD,1.3660850415
2020-08-28,SGD,1.3592110785
2020-08-28,SGD,1.3592110785
2020-08-28,SGD,1.3592110785
2020-08-31,SGD,1.3597152429
2020-09-01,SGD,1.3576374406
2020-09-02,SGD,1.3618581907
2020-09-03,SGD,1.3655295014
2020-09-04,SGD,1.3644654619
2020-09-04,SGD,1.3644654619
2020-09-04,SGD,1.3644654619
2020-09-07,SGD,1.3667117727
2020-09-08,SGD,1.3703012304
2020-09-09,SGD,1.3690648093
2020-09-10,SGD,1.3671195882
2020-09-11,SGD,1.3666272988
2020-09-11,SGD,1.3666272988
2020-09-11,SGD,1.3666272988
2020-09-14,SGD,1.3646850792
2020-09-15,SGD,1.3591490077
2020-09-16,SGD,1.3573173814
2020-09-17,SGD,1.3595829448
2020-09-18,SGD,1.3590805375
2020-09-18,SGD,1.3590805375
2020-09-18,SGD,1.3590805375
2020-09-21,SGD,1.3597183338
2020-09-22,SGD,1.3626916525
2020-09-23,SGD,1.3675162504
2020-09-24,SGD,1.3764705882
2020-09-25,SGD,1.3771703627
2020-09-25,SGD,1.3771703627
2020-09-25,SGD,1.3771703627
2020-09-28,SGD,1.3734361611
2020-09-29,SGD,1.3688258417
2020-09-30,SGD,1.369576358
2020-10-01,SGD,1.3618107556
2020-10-02,SGD,1.3630008525
2020-10-02,SGD,1.3630008525
2020-10-02,SGD,1.3630008525
2020-10-05,SGD,1.36021414
2020-10-06,SGD,1.3592200085
2020-10-07,SGD,1.3589634664
2020-10-08,SGD,1.3581810455
2020-10-09,SGD,1.3553200509
2020-10-09,SGD,1.3553200509
2020-10-09,SGD,1.3553200509
2020-10-12,SGD,1.356979405
2020-10-13,SGD,1.3580215492
2020-10-14,SGD,1.3571914894
2020-10-15,SGD,1.3621986664
2020-10-16,SGD,1.357805979
2020-10-16,SGD,1.357805979
2020-10-16,SGD,1.357805979
2020-10-19,SGD,1.3568095036
2020-10-20,SGD,1.3578323455
2020-10-21,SGD,1.3556361795
2020-10-22,SGD,1.3571609847
2020-10-23,SGD,1.357034413
2020-10-23,SGD,1.357034413
2020-10-23,SGD,1.357034413
2020-10-26,SGD,1.3617903376
2020-10-27,SGD,1.358857336
2020-10-28,SGD,1.3655666411
2020-10-29,SGD,1.3660287081
2020-10-30,SGD,1.3636519063
2020-10-30,SGD,1.3636519063
2020-10-30,SGD,1.3636519063
2020-11-02,SGD,1.3648300721
2020-11-03,SGD,1.3613912152
2020-11-04,SGD,1.3587577852
2020-11-05,SGD,1.3508224378
2020-11-06,SGD,1.347851727
2020-11-06,SGD,1.347851727
2020-11-06,SGD,1.347851727
2020-11-09,SGD,1.3422536397
2020-11-10,SGD,1.3487466125
2020-11-11,SGD,1.349481557
2020-11-12,SGD,1.3502671529
2020-11-13,SGD,1.3486246297
2020-11-13,SGD,1.3486246297
2020-11-13,SGD,1.3486246297
2020-11-16,SGD,1.3469146238
2020-11-17,SGD,1.3433765359
2020-11-18,SGD,1.3411695315
2020-11-19,SGD,1.345841785
2020-11-20,SGD,1.3431678328
2020-11-20,SGD,1.3431678328
2020-11-20,SGD,1.3431678328
2020-11-23,SGD,1.3406436434
2020-11-24,SGD,1.3435313949
2020-11-25,SGD,1.342724979
2020-11-26,SGD,1.3386554622
2020-11-27,SGD,1.3382821674
2020-11-27,SGD,1.3382821674
2020-11-27,SGD,1.3382821674
2020-11-30,SGD,1.3379799666
2020-12-01,SGD,1.3409090909
2020-12-02,SGD,1.340626554
2020-12-03,SGD,1.3355279401
2020-12-04,SGD,1.3328398717
2020-12-04,SGD,1.3328398717
2020-12-04,SGD,1.3328398717
2020-12-07,SGD,1.3367414248
2020-12-08,SGD,1.338038633
2020-12-09,SGD,1.3357007185
2020-12-10,SGD,1.3373503921
2020-12-11,SGD,1.336934114
2020-12-11,SGD,1.336934114
2020-12-11,SGD,1.336934114
2020-12-14,SGD,1.3321822069
2020-12-15,SGD,1.3340197694
2020-12-16,SGD,1.3293133153
2020-12-17,SGD,1.3250857423
2020-12-18,SGD,1.3281670609
2020-12-18,SGD,1.3281670609
2020-12-18,SGD,1.3281670609
2020-12-21,SGD,1.3378789123
2020-12-22,SGD,1.3340142168
2020-12-23,SGD,1.3344566826
2020-12-24,SGD,1.3282211105
2020-12-24,SGD,1.3282211105
2020-12-24,SGD,1.3282211105
2020-12-24,SGD,1.3282211105
2020-12-28,SGD,1.3288321467
2020-12-29,SGD,1.3275144792
2020-12-30,SGD,1.3237521374
2020-12-31,SGD,1.321652677
2020-12-31,SGD,1.321652677
2020-12-31,SGD,1.321652677
2020-12-31,SGD,1.321652677
2021-01-04,SGD,1.317338972
2021-01-05,SGD,1.3185559449
2021-01-06,SGD,1.3167450154
2021-01-07,SGD,1.3239654611
2021-01-08,SGD,1.3247346939
2021-01-08,SGD,1.3247346939
2021-01-08,SGD,1.3247346939
2021-01-11,SGD,1.3302639152
2021-01-12,SGD,1.3276868679
2021-01-13,SGD,1.3265658392
2021-01-14,SGD,1.3271197625
2021-01-15,SGD,1.3284665512
2021-01-15,SGD,1.3284665512
2021-01-15,SGD,1.3284665512
2021-01-18,SGD,1.3327254642
2021-01-19,SGD,1.3282228816
2021-01-20,SGD,1.3266672176
