date, base, rates
2020-05-27,THB,31.8951869712
2020-05-27,THB,31.8951869712
2020-05-28,THB,31.8700072622
2020-05-29,THB,31.8103448276
2020-05-29,THB,31.8103448276
2020-05-29,THB,31.8103448276
2020-06-01,THB,31.6696653472
2020-06-02,THB,31.5652407374
2020-06-03,THB,31.5695908522
2020-06-04,THB,31.5902222222
2020-06-05,THB,31.4651368049
2020-06-05,THB,31.4651368049
2020-06-05,THB,31.4651368049
2020-06-08,THB,31.4346477625
2020-06-09,THB,31.3600141668
2020-06-10,THB,31.1402197802
2020-06-11,THB,30.9499471272
2020-06-12,THB,30.9501061571
2020-06-12,THB,30.9501061571
2020-06-12,THB,30.9501061571
2020-06-15,THB,31.1099262419
2020-06-16,THB,31.1107180757
2020-06-17,THB,31.2099358974
2020-06-18,THB,31.1245767243
2020-06-19,THB,31.0124888492
2020-06-19,THB,31.0124888492
2020-06-19,THB,31.0124888492
2020-06-22,THB,30.9997324534
2020-06-23,THB,30.9197738116
2020-06-24,THB,30.8404255319
2020-06-25,THB,30.9348214286
2020-06-26,THB,30.9230357621
2020-06-26,THB,30.9230357621
2020-06-26,THB,30.9230357621
