date, base, rates
2020-05-27,TRY,6.7820944409
2020-05-27,TRY,6.7820944409
2020-05-28,TRY,6.8148148148
2020-05-29,TRY,6.8337823276
2020-05-29,TRY,6.8337823276
2020-05-29,TRY,6.8337823276
2020-06-01,TRY,6.8138718964
2020-06-02,TRY,6.7744764632
2020-06-03,TRY,6.7628193675
2020-06-04,TRY,6.7438222222
2020-06-05,TRY,6.7737864078
2020-06-05,TRY,6.7737864078
2020-06-05,TRY,6.7737864078
2020-06-08,TRY,6.7854674346
2020-06-09,TRY,6.8052948468
2020-06-10,TRY,6.781978022
2020-06-11,TRY,6.8197920338
2020-06-12,TRY,6.8315640481
2020-06-12,TRY,6.8315640481
2020-06-12,TRY,6.8315640481
2020-06-15,TRY,6.8396871945
2020-06-16,TRY,6.8484258932
2020-06-17,TRY,6.8564814815
2020-06-18,TRY,6.8586704687
2020-06-19,TRY,6.8587867975
2020-06-19,TRY,6.8587867975
2020-06-19,TRY,6.8587867975
2020-06-22,TRY,6.8517791849
2020-06-23,TRY,6.8582788479
2020-06-24,TRY,6.854787234
2020-06-25,TRY,6.855
2020-06-26,TRY,6.854989744
2020-06-26,TRY,6.854989744
2020-06-26,TRY,6.854989744
2020-06-29,TRY,6.8549273307
2020-06-30,TRY,6.8548848009
2020-07-01,TRY,6.8550892857
2020-07-02,TRY,6.8552188552
2020-07-03,TRY,6.8564682823
2020-07-03,TRY,6.8564682823
2020-07-03,TRY,6.8564682823
2020-07-06,TRY,6.8647240618
2020-07-07,TRY,6.865190434
2020-07-08,TRY,6.8649654439
2020-07-09,TRY,6.8634279668
2020-07-10,TRY,6.8656438453
2020-07-10,TRY,6.8656438453
2020-07-10,TRY,6.8656438453
2020-07-13,TRY,6.8694500839
2020-07-14,TRY,6.8669010989
2020-07-15,TRY,6.8654316672
2020-07-16,TRY,6.8617487296
2020-07-17,TRY,6.861480574
2020-07-17,TRY,6.861480574
2020-07-17,TRY,6.861480574
2020-07-20,TRY,6.857791754
2020-07-21,TRY,6.8486410906
2020-07-22,TRY,6.8491103818
2020-07-23,TRY,6.8483879333
2020-07-24,TRY,6.8483804273
2020-07-24,TRY,6.8483804273
2020-07-24,TRY,6.8483804273
2020-07-27,TRY,6.8496598639
2020-07-28,TRY,6.9371852863
2020-07-29,TRY,6.9721108742
2020-07-30,TRY,6.9810099634
2020-07-31,TRY,6.9712187711
2020-07-31,TRY,6.9712187711
2020-07-31,TRY,6.9712187711
2020-08-03,TRY,6.9814088351
2020-08-04,TRY,6.9689757756
2020-08-05,TRY,7.0280917834
2020-08-06,TRY,7.2492611669
2020-08-07,TRY,7.1946348481
2020-08-07,TRY,7.1946348481
2020-08-07,TRY,7.1946348481
2020-08-10,TRY,7.3157357817
2020-08-11,TRY,7.2485784605
2020-08-12,TRY,7.3123778778
2020-08-13,TRY,7.3349108426
2020-08-14,TRY,7.3773808516
2020-08-14,TRY,7.3773808516
2020-08-14,TRY,7.3773808516
2020-08-17,TRY,7.3952585843
2020-08-18,TRY,7.3932471023
2020-08-19,TRY,7.3564904048
2020-08-20,TRY,7.3526582278
2020-08-21,TRY,7.3009601495
2020-08-21,TRY,7.3009601495
2020-08-21,TRY,7.3009601495
2020-08-24,TRY,7.3701358994
2020-08-25,TRY,7.3939393939
2020-08-26,TRY,7.354822292
2020-08-27,TRY,7.3407589361
2020-08-28,TRY,7.316491817
2020-08-28,TRY,7.316491817
2020-08-28,TRY,7.316491817
2020-08-31,TRY,7.350921273
2020-09-01,TRY,7.3576374406
2020-09-02,TRY,7.3845375601
2020-09-03,TRY,7.4415474477
2020-09-04,TRY,7.449332883
2020-09-04,TRY,7.449332883
2020-09-04,TRY,7.449332883
2020-09-07,TRY,7.4566982409
2020-09-08,TRY,7.4842596521
2020-09-09,TRY,7.4951159433
2020-09-10,TRY,7.4580977298
2020-09-11,TRY,7.4713176987
2020-09-11,TRY,7.4713176987
2020-09-11,TRY,7.4713176987
2020-09-14,TRY,7.4938531492
2020-09-15,TRY,7.4859569458
2020-09-16,TRY,7.4968405089
2020-09-17,TRY,7.547427312
2020-09-18,TRY,7.5720442829
2020-09-18,TRY,7.5720442829
2020-09-18,TRY,7.5720442829
2020-09-21,TRY,7.6109272928
2020-09-22,TRY,7.6533219761
2020-09-23,TRY,7.6907287034
2020-09-24,TRY,7.6299699442
2020-09-25,TRY,7.6249785113
2020-09-25,TRY,7.6249785113
2020-09-25,TRY,7.6249785113
2020-09-28,TRY,7.8040274207
2020-09-29,TRY,7.8319090754
2020-09-30,TRY,7.7716091561
2020-10-01,TRY,7.7098366236
2020-10-02,TRY,7.7397271952
2020-10-02,TRY,7.7397271952
2020-10-02,TRY,7.7397271952
2020-10-05,TRY,7.7850101971
2020-10-06,TRY,7.7681220856
2020-10-07,TRY,7.8778249788
2020-10-08,TRY,7.930641734
2020-10-09,TRY,7.9083509962
2020-10-09,TRY,7.9083509962
2020-10-09,TRY,7.9083509962
2020-10-12,TRY,7.8667683702
2020-10-13,TRY,7.903198439
2020-10-14,TRY,7.9433191489
2020-10-15,TRY,7.9387929561
2020-10-16,TRY,7.9465122221
2020-10-16,TRY,7.9465122221
2020-10-16,TRY,7.9465122221
2020-10-19,TRY,7.8962240136
