date, base, rates
2020-05-27,USD,1.0
2020-05-27,USD,1.0
2020-05-28,USD,1.0
2020-05-29,USD,1.0
2020-05-29,USD,1.0
2020-05-29,USD,1.0
2020-06-01,USD,1.0
2020-06-02,USD,1.0
2020-06-03,USD,1.0
2020-06-04,USD,1.0
2020-06-05,USD,1.0
2020-06-05,USD,1.0
2020-06-05,USD,1.0
2020-06-08,USD,1.0
2020-06-09,USD,1.0
2020-06-10,USD,1.0
2020-06-11,USD,1.0
2020-06-12,USD,1.0
2020-06-12,USD,1.0
2020-06-12,USD,1.0
2020-06-15,USD,1.0
2020-06-16,USD,1.0
2020-06-17,USD,1.0
2020-06-18,USD,1.0
2020-06-19,USD,1.0
2020-06-19,USD,1.0
2020-06-19,USD,1.0
2020-06-22,USD,1.0
2020-06-23,USD,1.0
2020-06-24,USD,1.0
2020-06-25,USD,1.0
2020-06-26,USD,1.0
2020-06-26,USD,1.0
2020-06-26,USD,1.0
2020-06-29,USD,1.0
2020-06-30,USD,1.0
2020-07-01,USD,1.0
2020-07-02,USD,1.0
2020-07-03,USD,1.0
2020-07-03,USD,1.0
2020-07-03,USD,1.0
2020-07-06,USD,1.0
2020-07-07,USD,1.0
2020-07-08,USD,1.0
2020-07-09,USD,1.0
2020-07-10,USD,1.0
