date, base, rates
2020-05-27,ZAR,17.4212537531
2020-05-27,ZAR,17.4212537531
2020-05-28,ZAR,17.4274691358
2020-05-29,ZAR,17.4424389368
2020-05-29,ZAR,17.4424389368
2020-05-29,ZAR,17.4424389368
2020-06-01,ZAR,17.4516912558
2020-06-02,ZAR,17.2503132271
2020-06-03,ZAR,17.0487761301
2020-06-04,ZAR,16.8941333333
2020-06-05,ZAR,16.8422771403
2020-06-05,ZAR,16.8422771403
2020-06-05,ZAR,16.8422771403
2020-06-08,ZAR,16.8186973859
2020-06-09,ZAR,16.7287940499
2020-06-10,ZAR,16.5605274725
2020-06-11,ZAR,16.8639407825
2020-06-12,ZAR,17.055378627
2020-06-12,ZAR,17.055378627
2020-06-12,ZAR,17.055378627
2020-06-15,ZAR,17.1705323025
2020-06-16,ZAR,17.0249380969
2020-06-17,ZAR,17.119747151
2020-06-18,ZAR,17.4063446801
2020-06-19,ZAR,17.3452274755
2020-06-19,ZAR,17.3452274755
2020-06-19,ZAR,17.3452274755
2020-06-22,ZAR,17.3973958798
2020-06-23,ZAR,17.2043647288
2020-06-24,ZAR,17.3106382979
2020-06-25,ZAR,17.4002678571
2020-06-26,ZAR,17.2834210292
2020-06-26,ZAR,17.2834210292
2020-06-26,ZAR,17.2834210292
2020-06-29,ZAR,17.2157036512
2020-06-30,ZAR,17.362475442
2020-07-01,ZAR,17.2263392857
2020-07-02,ZAR,16.9193691299
2020-07-03,ZAR,17.0849073414
2020-07-03,ZAR,17.0849073414
2020-07-03,ZAR,17.0849073414
2020-07-06,ZAR,17.0208388521
2020-07-07,ZAR,17.0866253322
2020-07-08,ZAR,16.9792663477
2020-07-09,ZAR,16.8128196085
2020-07-10,ZAR,16.9287868038
2020-07-10,ZAR,16.9287868038
2020-07-10,ZAR,16.9287868038
2020-07-13,ZAR,16.7469326507
2020-07-14,ZAR,16.7676483516
2020-07-15,ZAR,16.520534778
2020-07-16,ZAR,16.6620816541
2020-07-17,ZAR,16.6692334617
2020-07-17,ZAR,16.6692334617
2020-07-17,ZAR,16.6692334617
2020-07-20,ZAR,16.7198637317
2020-07-21,ZAR,16.4996941362
2020-07-22,ZAR,16.3689756435
2020-07-23,ZAR,16.6136226122
2020-07-24,ZAR,16.7427636113
2020-07-24,ZAR,16.7427636113
2020-07-24,ZAR,16.7427636113
2020-07-27,ZAR,16.443877551
2020-07-28,ZAR,16.5840232141
2020-07-29,ZAR,16.4834968017
2020-07-30,ZAR,16.7819126288
2020-07-31,ZAR,16.9615124916
2020-07-31,ZAR,16.9615124916
2020-07-31,ZAR,16.9615124916
2020-08-03,ZAR,17.2929387685
2020-08-04,ZAR,17.414279643
2020-08-05,ZAR,17.2280242956
2020-08-06,ZAR,17.533986321
2020-08-07,ZAR,17.5244139799
2020-08-07,ZAR,17.5244139799
2020-08-07,ZAR,17.5244139799
2020-08-10,ZAR,17.7209895435
2020-08-11,ZAR,17.5051345158
2020-08-12,ZAR,17.4239232011
2020-08-13,ZAR,17.4431674132
2020-08-14,ZAR,17.4486582579
2020-08-14,ZAR,17.4486582579
2020-08-14,ZAR,17.4486582579
2020-08-17,ZAR,17.4440226103
2020-08-18,ZAR,17.3987905258
2020-08-19,ZAR,17.194586441
2020-08-20,ZAR,17.2266666667
2020-08-21,ZAR,17.2467499363
2020-08-21,ZAR,17.2467499363
2020-08-21,ZAR,17.2467499363
2020-08-24,ZAR,16.9333164514
2020-08-25,ZAR,16.7668867445
2020-08-26,ZAR,16.7949783697
2020-08-27,ZAR,16.9638319499
2020-08-28,ZAR,16.687284935
2020-08-28,ZAR,16.687284935
2020-08-28,ZAR,16.687284935
2020-08-31,ZAR,16.7159966499
2020-09-01,ZAR,16.639609577
2020-09-02,ZAR,16.7906584605
2020-09-03,ZAR,16.7661051384
2020-09-04,ZAR,16.5747339976
2020-09-04,ZAR,16.5747339976
2020-09-04,ZAR,16.5747339976
2020-09-07,ZAR,16.7163396482
2020-09-08,ZAR,16.9735256682
2020-09-09,ZAR,16.736940457
2020-09-10,ZAR,16.7607393029
2020-09-11,ZAR,16.747680108
2020-09-11,ZAR,16.747680108
2020-09-11,ZAR,16.747680108
2020-09-14,ZAR,16.661839003
2020-09-15,ZAR,16.4538345106
2020-09-16,ZAR,16.3220153341
2020-09-17,ZAR,16.3323726371
2020-09-18,ZAR,16.1852446548
2020-09-18,ZAR,16.1852446548
2020-09-18,ZAR,16.1852446548
2020-09-21,ZAR,16.7486213625
2020-09-22,ZAR,16.6762350937
2020-09-23,ZAR,17.0721005816
2020-09-24,ZAR,17.0609703736
2020-09-25,ZAR,17.1050369606
2020-09-25,ZAR,17.1050369606
2020-09-25,ZAR,17.1050369606
2020-09-28,ZAR,17.0441302485
2020-09-29,ZAR,16.9787215861
2020-09-30,ZAR,16.8339596857
2020-10-01,ZAR,16.6246596324
2020-10-02,ZAR,16.5389599318
2020-10-02,ZAR,16.5389599318
2020-10-02,ZAR,16.5389599318
2020-10-05,ZAR,16.4383922502
2020-10-06,ZAR,16.4925816024
2020-10-07,ZAR,16.6349192863
2020-10-08,ZAR,16.574160646
2020-10-09,ZAR,16.4743535396
2020-10-09,ZAR,16.4743535396
2020-10-09,ZAR,16.4743535396
2020-10-12,ZAR,16.5107212476
2020-10-13,ZAR,16.4966488504
2020-10-14,ZAR,16.5018723404
2020-10-15,ZAR,16.6976406223
2020-10-16,ZAR,16.5119666127
2020-10-16,ZAR,16.5119666127
2020-10-16,ZAR,16.5119666127
2020-10-19,ZAR,16.4451421298
2020-10-20,ZAR,16.5321761219
2020-10-21,ZAR,16.4001012487
2020-10-22,ZAR,16.3064884528
2020-10-23,ZAR,16.1863191633
2020-10-23,ZAR,16.1863191633
2020-10-23,ZAR,16.1863191633
2020-10-26,ZAR,16.2517979524
2020-10-27,ZAR,16.1105476673
2020-10-28,ZAR,16.3884198857
2020-10-29,ZAR,16.4321599453
2020-10-30,ZAR,16.2727816721
2020-10-30,ZAR,16.2727816721
2020-10-30,ZAR,16.2727816721
2020-11-02,ZAR,16.2179883282
2020-11-03,ZAR,16.0383695095
2020-11-04,ZAR,16.0472655917
2020-11-05,ZAR,15.7649936736
2020-11-06,ZAR,15.748357203
2020-11-06,ZAR,15.748357203
2020-11-06,ZAR,15.748357203
2020-11-09,ZAR,15.2575107296
2020-11-10,ZAR,15.5409044715
2020-11-11,ZAR,15.6654767976
2020-11-12,ZAR,15.6821304385
2020-11-13,ZAR,15.5791790097
2020-11-13,ZAR,15.5791790097
2020-11-13,ZAR,15.5791790097
2020-11-16,ZAR,15.41386306
2020-11-17,ZAR,15.4066655445
2020-11-18,ZAR,15.4039433771
2020-11-19,ZAR,15.4794624746
2020-11-20,ZAR,15.3580038776
2020-11-20,ZAR,15.3580038776
2020-11-20,ZAR,15.3580038776
2020-11-23,ZAR,15.3319889085
2020-11-24,ZAR,15.3565950274
2020-11-25,ZAR,15.2632464256
2020-11-26,ZAR,15.2183193277
2020-11-27,ZAR,15.3210031874
2020-11-27,ZAR,15.3210031874
2020-11-27,ZAR,15.3210031874
2020-11-30,ZAR,15.3798831386
2020-12-01,ZAR,15.3167613636
2020-12-02,ZAR,15.3803248798
2020-12-03,ZAR,15.264175788
2020-12-04,ZAR,15.1882556131
2020-12-04,ZAR,15.1882556131
2020-12-04,ZAR,15.1882556131
2020-12-07,ZAR,15.1916226913
2020-12-08,ZAR,15.0370645534
2020-12-09,ZAR,14.9274093649
2020-12-10,ZAR,15.0024762691
2020-12-11,ZAR,15.1261647563
2020-12-11,ZAR,15.1261647563
2020-12-11,ZAR,15.1261647563
2020-12-14,ZAR,14.992517678
2020-12-15,ZAR,14.9430807249
2020-12-16,ZAR,14.8638116334
2020-12-17,ZAR,14.6839784419
2020-12-18,ZAR,14.5769638633
2020-12-18,ZAR,14.5769638633
2020-12-18,ZAR,14.5769638633
2020-12-21,ZAR,14.856567814
2020-12-22,ZAR,14.5881199444
2020-12-23,ZAR,14.6223080717
2020-12-24,ZAR,14.6192077421
2020-12-24,ZAR,14.6192077421
2020-12-24,ZAR,14.6192077421
2020-12-24,ZAR,14.6192077421
2020-12-28,ZAR,14.5681315983
2020-12-29,ZAR,14.6546210947
2020-12-30,ZAR,14.6611025161
2020-12-31,ZAR,14.686578111
2020-12-31,ZAR,14.686578111
